CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685789;Preferencial Classe B;360000;0.129000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685793;Preferencial Classe A;55585;37.834000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685794;Preferencial Classe A;4361;2.968000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685794;Preferencial Classe B;6837800;2.443000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685795;Preferencial Classe A;84974;57.837000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685795;Preferencial Classe B;173264841;61.893000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685796;Preferencial Classe B;279941393;100.000000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685796;Preferencial Classe C;1;100.000000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685796;Preferencial Classe A;146920;100.000000
01.107.327/0001-20;2024-12-31;8;145245;BBM LOGÍSTICA S.A.;7627856;Ordinária Classe A;0;0.000000
01.107.327/0001-20;2024-12-31;8;145245;BBM LOGÍSTICA S.A.;7627858;Ordinária Classe A;0;100.000000
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;7398618;Ordinária Classe A;7;100.000000
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;7398621;Ordinária Classe A;7;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7681973;Preferencial Classe A;2673312;3.277000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7681973;Preferencial Classe B;34092604;49.282000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682014;Preferencial Classe A;37536000;46.007000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682143;Preferencial Classe A;40209312;49.283000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682143;Preferencial Classe B;34092604;49.282000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682144;Preferencial Classe A;0;0.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682153;Preferencial Classe E;12;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682163;Preferencial Classe E;12;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682166;Preferencial Classe A;0;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682171;Preferencial Classe A;185517;0.227000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682171;Preferencial Classe B;157288;0.227000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682178;Preferencial Classe A;54257561;9.905000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682182;Preferencial Classe A;55144456;10.067000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682186;Preferencial Classe A;1283203;0.234000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682250;Preferencial Classe A;3138758;0.573000
