CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;331690;Preferencial Classe A;1000
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;331691;Preferencial Classe A;1000
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;331096;Preferencial Classe B;17721681
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;331096;Preferencial Classe A;20606128
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;331097;Preferencial Classe A;17721681
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;331097;Preferencial Classe B;20606128
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;331098;Preferencial Classe A;17721681
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;331098;Preferencial Classe B;20606128
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;315144;Preferencial Classe A;28607
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;315144;Preferencial Classe B;14
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;315144;Preferencial Classe C;73969
08.935.054/0001-50;2024-12-31;2;141534;MULTINER S/A;321477;Preferencial Classe A;311344
08.935.054/0001-50;2024-12-31;2;141534;MULTINER S/A;321477;Preferencial Classe B;6532211
08.935.054/0001-50;2024-12-31;2;141534;MULTINER S/A;321477;Preferencial Classe C;1
08.935.054/0001-50;2024-12-31;2;141534;MULTINER S/A;321477;Preferencial Classe D;1
08.935.054/0001-50;2024-12-31;2;141534;MULTINER S/A;321477;Ordinária Classe A;7877740
09.041.168/0001-10;2024-12-31;16;146606;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;331306;Ordinária Classe A;87859154
09.041.168/0001-10;2024-12-31;16;146606;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;331308;Ordinária Classe A;87859154
09.041.168/0001-10;2024-12-31;16;146606;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;331309;Ordinária Classe A;87859154
09.116.278/0001-01;2024-12-31;1;138233;CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL;315970;Preferencial Classe C;82043
09.116.278/0001-01;2024-12-31;1;138233;CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL;315970;Preferencial Classe B;72447
09.116.278/0001-01;2024-12-31;1;138233;CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL;315970;Preferencial Classe A;461266
09.116.278/0001-01;2024-12-31;1;138233;CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL;315970;Preferencial Classe D;3457776
10.835.932/0001-08;2024-12-31;6;146530;CIA ENERGETICA DE PERNAMBUCO - CELPE;331094;Preferencial Classe B;562531
10.835.932/0001-08;2024-12-31;6;146530;CIA ENERGETICA DE PERNAMBUCO - CELPE;331094;Preferencial Classe A;7085257
10.835.932/0001-08;2024-12-31;6;146530;CIA ENERGETICA DE PERNAMBUCO - CELPE;331094;Ordinária Classe A;66052187
