CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331472;Capital Autorizado;2003-05-14;1600000000.00;;0;0;0
00.938.574/0001-05;2024-12-31;9;148146;CONC RIO-TERESOPOLIS S.A.;333577;Capital Subscrito;2024-04-11;57899999.89;;48786;37680;86466
00.938.574/0001-05;2024-12-31;9;148146;CONC RIO-TERESOPOLIS S.A.;333578;Capital Integralizado;2024-04-11;57899999.89;;48786;37680;86466
00.974.211/0001-25;2024-12-31;3;143689;LINHA AMARELA S.A. - LAMSA;325561;Capital Emitido;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2024-12-31;3;143689;LINHA AMARELA S.A. - LAMSA;325562;Capital Subscrito;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2024-12-31;3;143689;LINHA AMARELA S.A. - LAMSA;325563;Capital Integralizado;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2024-12-31;3;143689;LINHA AMARELA S.A. - LAMSA;325564;Capital Autorizado;1998-12-22;58046618.52;;0;0;0
00.979.969/0001-56;2024-12-31;2;143863;CAIXA ADM DIV PUB ESTADUAL SA;326107;Capital Subscrito;2024-04-02;720743940.06;;2402611661;0;2402611661
00.979.969/0001-56;2024-12-31;2;143863;CAIXA ADM DIV PUB ESTADUAL SA;326108;Capital Integralizado;2024-04-02;720743940.06;;2402611661;0;2402611661
01.027.058/0001-91;2024-12-31;16;148344;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;334040;Capital Emitido;2024-11-12;5700000000.00;;2668174120;0;2668174120
01.027.058/0001-91;2024-12-31;16;148344;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;334041;Capital Subscrito;2024-11-12;5700000000.00;;2668174120;0;2668174120
01.027.058/0001-91;2024-12-31;16;148344;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;334042;Capital Integralizado;2024-11-12;5700000000.00;;2668174120;0;2668174120
01.027.058/0001-91;2024-12-31;16;148344;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;334043;Capital Autorizado;2011-04-29;263834773.86;;2400000000;0;2400000000
01.083.200/0001-18;2024-12-31;9;146731;NEOENERGIA S.A.;331581;Capital Emitido;2025-04-17;20919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2024-12-31;9;146731;NEOENERGIA S.A.;331582;Capital Subscrito;2025-04-17;20919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2024-12-31;9;146731;NEOENERGIA S.A.;331583;Capital Integralizado;2025-04-17;20919982151.71;;1213797248;0;1213797248
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;333347;Capital Emitido;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;333348;Capital Subscrito;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;333349;Capital Integralizado;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;333350;Capital Autorizado;1996-12-15;1500000000.00;;11764889;0;11764889
01.107.327/0001-20;2024-12-31;8;145245;BBM LOGÍSTICA S.A.;329231;Capital Autorizado;2021-06-23;1800000000.00;;0;0;0
01.107.327/0001-20;2024-12-31;8;145245;BBM LOGÍSTICA S.A.;329232;Capital Emitido;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2024-12-31;8;145245;BBM LOGÍSTICA S.A.;329233;Capital Subscrito;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2024-12-31;8;145245;BBM LOGÍSTICA S.A.;329234;Capital Integralizado;2019-12-17;102489376.00;;40760818;0;40760818
01.258.944/0001-26;2024-12-31;8;146737;RUMO MALHA SUL S.A.;331609;Capital Emitido;2025-04-23;8448632783.73;;2773499242863;4219586452044;6993085694907
01.258.944/0001-26;2024-12-31;8;146737;RUMO MALHA SUL S.A.;331610;Capital Subscrito;2025-04-23;8448632783.73;;2773499242863;4219586452044;6993085694907
01.258.944/0001-26;2024-12-31;8;146737;RUMO MALHA SUL S.A.;331611;Capital Integralizado;2025-04-23;8448632783.73;;2773499242863;4219586452044;6993085694907
01.258.944/0001-26;2024-12-31;8;146737;RUMO MALHA SUL S.A.;331612;Capital Autorizado;2025-04-23;3000000000.00;;0;0;0
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;315203;Capital Integralizado;1996-06-01;50000.00;;100;0;100
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333104;Capital Emitido;2025-04-30;4760878809.86;;187210201;150766818;337977019
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333105;Capital Autorizado;2025-04-30;239121190.14;;0;0;0
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333106;Capital Integralizado;2025-04-30;4760878809.86;;187210201;150766818;337977019
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333107;Capital Subscrito;2025-04-30;4760878809.86;;187210201;150766818;337977019
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;332370;Capital Emitido;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;332371;Capital Subscrito;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;332372;Capital Integralizado;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;332373;Capital Autorizado;2023-02-27;2000000000.00;;1;0;1
