CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
10.488.244/0001-19;2023-01-01;1;126904;INFRASEC SECURITIZADORA S.A.;Brasil;2009-09-22
11.669.021/0001-10;2023-01-01;2;126718;ENAUTA PARTICIPAÇÕES S.A.;Brasil;2011-02-02
12.919.786/0001-24;2023-01-01;1;127546;TCP TERMINAL DE CONTEINERES DE PARANAGUA SA;Brasil;2016-10-27
14.191.427/0001-29;2023-01-01;1;128053;GranBio Investimentos S.A.;Brasil;2020-11-13
15.073.274/0001-88;2023-01-01;1;127934;PPLA PARTICIPATIONS LTD.;Holanda;2012-04-26
15.144.017/0001-90;2023-01-01;1;127978;CIA SEGUROS ALIANCA DA BAHIA;Brasil;1977-07-20
16.404.287/0001-55;2023-01-01;1;127339;SUZANO S.A.;Estados Unidos;1993-10-01
17.155.730/0001-64;2023-01-01;1;127080;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Espanha;2002-07-11
17.155.730/0001-64;2023-01-01;1;127080;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Estados Unidos;2001-09-18
17.344.597/0001-94;2023-01-01;1;127590;BB SEGURIDADE PARTICIPAÇÕES S.A.;Estados Unidos;2014-03-28
22.261.473/0001-85;2023-01-01;1;124565;COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG;Brasil;2020-10-06
24.410.913/0001-44;2023-01-01;1;127707;NU HOLDINGS LTD.;Estados Unidos;2021-11-23
26.609.050/0001-64;2023-01-01;2;133085;Travessia Securitizadora S.A.;Brasil;2017-02-09
27.093.558/0001-15;2023-01-01;1;126892;MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.;Brasil;2010-04-14
30.306.294/0001-45;2023-01-01;1;127278;BCO BTG PACTUAL S.A.;Brasil;2011-11-10
32.785.497/0001-97;2023-01-01;1;124668;Natura &Co Holding S.A.;Estados Unidos;2020-01-01
33.000.167/0001-01;2023-01-01;1;124817;PETROLEO BRASILEIRO S.A. PETROBRAS;Espanha;2002-07-09
33.000.167/0001-01;2023-01-01;1;124817;PETROLEO BRASILEIRO S.A. PETROBRAS;Estados Unidos;2000-08-10
33.041.260/0652-90;2023-01-01;2;131214;Grupo Casas Bahia S.A.;Brasil;1981-11-24
33.042.730/0001-04;2023-01-01;3;132715;CIA SIDERURGICA NACIONAL;Estados Unidos;1997-11-14
33.113.309/0001-47;2023-01-01;4;131850;VALID SOLUÇÕES S.A.;Brasil;2006-04-12
33.200.049/0001-47;2023-01-01;1;127133;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;1980-08-08
33.256.439/0001-39;2023-01-01;1;124999;ULTRAPAR PARTICIPACOES S.A.;Estados Unidos;1999-10-06
33.592.510/0001-54;2023-01-01;1;127328;VALE S.A.;Espanha;2000-02-08
33.592.510/0001-54;2023-01-01;1;127328;VALE S.A.;Estados Unidos;2000-06-20
33.611.500/0001-19;2023-01-01;1;124391;GERDAU S.A.;Espanha;2002-12-02
33.611.500/0001-19;2023-01-01;1;124391;GERDAU S.A.;Estados Unidos;1999-03-10
41.508.382/0001-46;2023-01-01;1;126091;RODOVIAS DO BRASIL HOLDING S.A.;Brasil;2021-05-18
42.150.391/0001-70;2023-01-01;2;131027;BRASKEM S.A.;Espanha;2003-10-08
42.150.391/0001-70;2023-01-01;2;131027;BRASKEM S.A.;Estados Unidos;1998-12-21
42.737.954/0001-21;2023-01-01;2;133039;Inter & Co, Inc.;Estados Unidos;2021-12-16
43.185.362/0001-07;2023-01-01;2;128173;IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL;Brasil;1973-12-19
43.470.988/0001-65;2023-01-01;1;122931;EVEN CONSTRUTORA E INCORPORADORA S.A.;Brasil;2007-03-02
43.776.517/0001-80;2023-01-01;2;131347;CIA SANEAMENTO BASICO EST SAO PAULO;Estados Unidos;2002-05-10
50.564.053/0001-03;2023-01-01;1;127350;BOMBRIL S.A.;Brasil;1994-06-01
50.746.577/0001-15;2023-01-01;1;127208;COSAN S.A.;Estados Unidos;2021-03-11
60.746.948/0001-12;2023-01-01;1;122899;BCO BRADESCO S.A.;Espanha;2001-02-16
60.746.948/0001-12;2023-01-01;1;122899;BCO BRADESCO S.A.;Estados Unidos;1997-06-11
60.872.504/0001-23;2023-01-01;1;123394;ITAU UNIBANCO HOLDING S.A.;Estados Unidos;2002-02-21
60.894.730/0001-05;2023-01-01;2;130896;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Espanha;2005-07-05
60.894.730/0001-05;2023-01-01;2;130896;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Estados Unidos;1994-09-01
61.156.113/0001-75;2023-01-01;4;133294;IOCHPE MAXION S.A.;Estados Unidos;1994-04-29
61.374.161/0001-30;2023-01-01;1;127291;BAUMER S.A.;Brasil;1970-05-20
61.409.892/0001-73;2023-01-01;2;130582;COMPANHIA BRASILEIRA DE ALUMÍNIO;Brasil;2021-07-13
61.585.865/0001-51;2023-01-01;1;123485;Raia Drogasil S.A.;Estados Unidos;2016-03-21
73.178.600/0001-18;2023-01-01;1;127577;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Estados Unidos;2005-09-21
76.483.817/0001-20;2023-01-01;1;124624;CIA PARANAENSE DE ENERGIA - COPEL;Espanha;2002-06-19
76.483.817/0001-20;2023-01-01;1;124624;CIA PARANAENSE DE ENERGIA - COPEL;Estados Unidos;1997-07-31
76.484.013/0001-45;2023-01-01;1;125573;CIA SANEAMENTO DO PARANA - SANEPAR;Brasil;2000-03-10
76.535.764/0001-43;2023-01-01;1;124653;OI S.A. - EM RECUPERAÇÃO JUDICIAL;Estados Unidos;2001-11-16
89.463.822/0001-12;2023-01-01;2;131463;LUPATECH S.A;Estados Unidos;2009-11-16
89.637.490/0001-45;2023-01-01;1;127627;KLABIN S.A.;Estados Unidos;1994-12-01
90.400.888/0001-42;2023-01-01;1;124955;BCO SANTANDER (BRASIL) S.A.;Estados Unidos;2009-10-07
