CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
67.571.414/0001-41;2020-01-01;8;103069;VIVER INCORPORADORA E CONSTRUTORA S.A.;1992-02-06;Constituída sob a forma de sociedade empresária limitada e transformada em sociedade por ações em 22 de dezembro de 2006.;BR;Brasil;;2007-05-23;N
67.620.377/0001-14;2020-01-01;16;104710;MINERVA S.A.;1992-03-09;A sociedade foi constituída sob a forma de sociedade limitada pela família Vilela de Queiroz, e foi transformada em sociedade por ações (Companhia Aberta) em 2007.;BR;Brasil;;2007-07-18;N
69.720.910/0001-45;2020-01-01;1;94970;CCB BRASIL ARRENDAMENTO MERCANTIL S.A.;1992-11-30;A CCB Brasil Arrendamento Mercantil S/A é uma sociedade por ações e sua constituição ocorreu por subscrição privada de ações.;BR;Brasil;;1995-11-16;N
69.720.910/0001-45;2020-12-31;1;105499;CCB BRASIL ARRENDAMENTO MERCANTIL S.A.;1992-11-30;A CCB Brasil Arrendamento Mercantil S/A é uma sociedade por ações e sua constituição ocorreu por subscrição privada de ações.;BR;Brasil;;1995-11-16;N
71.208.516/0001-74;2020-01-01;1;95425;ALGAR TELECOM S/A;1954-02-25;Constituída sob a forma de sociedade por ações.;BR;Brasil;;2007-07-27;N
71.476.527/0001-35;2020-01-01;10;104883;CONSTRUTORA TENDA S.A.;1993-12-01;A Companhia foi constituída como uma sociedade por quotas de responsabilidade limitada, tendo sido transformada em sociedade anônima em 18/02/1999;BR;Brasil;;2007-10-11;N
71.673.990/0001-77;2020-01-01;5;121236;NATURA COSMÉTICOS S.A.;1969-08-28;Nossa Companhia foi constituída sob a forma de sociedade empresária limitada e transformada em sociedade por ações em 6 de setembro de 1995.;BR;Brasil;;2004-05-21;N
73.178.600/0001-18;2020-01-01;8;103179;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;1993-12-01;Sociedade por ações;BR;Brasil;;1994-07-07;N
73.903.718/0001-61;2020-01-01;1;94805;SNB PARTICIPACOES SA;1993-11-25;Sociedade de Capital Aberto;BR;Brasil;;1994-03-09;N
75.315.333/0001-09;2020-01-01;9;103416;ATACADÃO S.A.;1980-08-13;Constituída por meio de subscrição particular de ações, sob a forma de sociedade por ações de capital fechado.;BR;Brasil;;2017-07-18;N
75.609.123/0001-23;2020-01-01;1;95471;UNIDAS LOCAÇÕES E SERVIÇOS S.A.;1973-05-29;Sociedade Limitada;BR;Brasil;;2013-11-14;N
76.483.817/0001-20;2020-01-01;11;103292;CIA PARANAENSE DE ENERGIA - COPEL;1954-10-26;Sociedade de economia mista constituída sob a forma de sociedade por ações.;BR;Brasil;;1994-04-04;N
76.484.013/0001-45;2020-01-01;17;103087;CIA SANEAMENTO DO PARANA - SANEPAR;1963-01-23;Sociedade por Ações.;BR;Brasil;;2000-03-10;N
76.535.764/0001-43;2020-01-01;11;103854;OI S.A. - EM RECUPERAÇÃO JUDICIAL;1963-11-27;Constituída sob a forma de sociedade anônima.;BR;Brasil;;1980-03-27;N
76.627.504/0001-06;2020-01-01;19;106575;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;1968-05-01;Sociedade Anônima de capital aberto;BR;Brasil;;1980-01-22;N
78.876.950/0001-71;2020-01-01;6;103363;CIA HERING;1985-08-19;Sociedade Anônima (S.A.);BR;Brasil;;2007-05-16;N
79.430.682/0001-22;2020-01-01;3;99600;FARMÁCIA E DROGARIA NISSEI S.A.;1986-07-01;Sociedade Limitada;BR;Brasil;;2021-01-14;N
80.227.184/0001-66;2020-01-01;2;93777;METALGRAFICA IGUACU S.A.;1951-11-27;Sociedade Anônima - Capital Aberto (30/09/1962);BR;Brasil;;1968-09-02;N
81.243.735/0001-48;2020-01-01;10;104660;POSITIVO TECNOLOGIA S.A.;1989-05-26;Constituída sob a forma de sociedade limitada e transformada em sociedade por ações em 17 de agosto de 2006.;BR;Brasil;;2006-12-06;N
