CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Especie_Acao;Classe_Acao;Dividendo_Distribuido;Montante;Data_Pagamento_Dividendo
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;238140000.00;2018-09-28
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;742876829.71;2018-08-31
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;215029411.76;2018-06-29
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;595914664.58;2018-05-30
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;227558823.53;2018-03-29
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;1242510521.99;2020-03-05
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;502320000.00;2019-12-30
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;1040834433.50;2019-11-29
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;649308000.00;2019-09-30
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;1229989356.89;2019-08-30
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;476640000.00;2019-06-28
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;435000000.00;2019-03-29
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;1155938857.17;2019-05-31
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Ordinária;;Dividendo Obrigatório;11727553.99;2018-04-20
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Ordinária;;Juros Sobre Capital Próprio;15842981.90;2017-12-08
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Ordinária;;Juros Sobre Capital Próprio;21123975.66;2017-10-30
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Ordinária;;Juros Sobre Capital Próprio;9393303.17;2017-08-30
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Ordinária;;Juros Sobre Capital Próprio;16597409.45;2017-05-04
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Preferencial;;Dividendo Obrigatório;3817424.64;2018-04-20
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Preferencial;;Juros Sobre Capital Próprio;5157018.10;2017-12-08
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Preferencial;;Juros Sobre Capital Próprio;6876024.34;2017-10-30
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Preferencial;;Juros Sobre Capital Próprio;3057593.18;2017-08-30
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;Preferencial;;Juros Sobre Capital Próprio;5402590.55;2017-05-04
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;7544275.88;2018-04-30
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;16156576.03;2018-06-13
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;6797761.19;2019-10-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;19684000.51;2018-12-20
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;5892004.01;2018-11-23
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;6881572.67;2018-09-19
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;8298703.46;2018-08-29
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Preferencial;;Dividendo Obrigatório;2202962.34;2019-10-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;6407304.79;2018-12-20
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;1917895.99;2018-11-23
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;2240008.74;2018-09-19
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;2701296.54;2018-08-29
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;5259098.97;2018-06-13
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;2455724.12;2018-04-30
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;43994444.79;2019-03-11
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;7317947.60;2019-12-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;3680097.77;2019-10-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;18952729.87;2019-10-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;46127824.24;2019-10-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Preferencial;;Dividendo Obrigatório;14320555.21;2020-03-11
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Preferencial;;Dividendo Obrigatório;2382052.40;2019-12-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Preferencial;;Dividendo Obrigatório;1197902.22;2019-10-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Preferencial;;Juros Sobre Capital Próprio;6169270.14;2019-10-10
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Preferencial;;Juros Sobre Capital Próprio;15014987.94;2019-10-10
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;881132080.25;2019-12-30
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;Preferencial;Preferencial Classe A;Dividendo Prioritário Mínimo;272025.04;2019-12-30
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;Preferencial;Preferencial Classe B;Dividendo Prioritário Mínimo;368595894.71;2019-12-30
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;2050357000.00;
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Preferencial;Preferencial Classe A;Dividendo Obrigatório;330000.00;
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Preferencial;Preferencial Classe B;Dividendo Obrigatório;489880000.00;
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;Ordinária;;Dividendo Obrigatório;1321028.31;2018-06-29
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;Preferencial;Preferencial Classe A;Dividendo Obrigatório;5155193.39;2018-06-29
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;Preferencial;Preferencial Classe B;Dividendo Obrigatório;1197266.86;2018-06-29
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;347334.54;2019-06-28
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;Preferencial;Preferencial Classe A;Dividendo Obrigatório;5155193.39;2019-06-28
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;Preferencial;Preferencial Classe B;Dividendo Obrigatório;314794.27;2019-06-28
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;11984245.08;2020-12-30
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;Preferencial;Preferencial Classe A;Dividendo Obrigatório;5155193.39;2020-12-30
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;Preferencial;Preferencial Classe B;Dividendo Obrigatório;10861492.77;2020-12-30
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2017-01-01;2017-12-31;Ordinária;;;0.00;
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;Ordinária;;;0.00;
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;Ordinária;;;0.00;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2017-01-01;2017-12-31;Ordinária;;;0.00;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2017-01-01;2017-12-31;Preferencial;;;0.00;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2018-01-01;2018-12-31;Ordinária;;;0.00;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2018-01-01;2018-12-31;Preferencial;;;0.00;
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;2017-01-01;2017-12-31;Ordinária;;;0.00;
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;2018-01-01;2018-12-31;Ordinária;;;0.00;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;3147631.34;2017-12-29
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;3146270.46;2017-03-31
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;3146964.09;2017-06-30
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;3146964.09;2017-09-29
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Preferencial;;Juros Sobre Capital Próprio;3006773.30;2017-12-29
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Preferencial;;Juros Sobre Capital Próprio;3008134.18;2017-03-31
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Preferencial;;Juros Sobre Capital Próprio;3007440.55;2017-06-30
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2017-01-01;2017-12-31;Preferencial;;Juros Sobre Capital Próprio;3007440.55;2017-09-29
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;5975421.55;2018-08-15
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;3306134.00;2018-07-06
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;4614540.92;2018-10-16
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;4594528.93;2019-01-15
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;3157492.10;2018-07-06
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;4572454.96;2019-01-15
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;5894920.33;2018-08-15
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2018-01-01;2018-12-31;Preferencial;;Juros Sobre Capital Próprio;4552442.94;2018-10-16
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;6636346.76;2019-03-04
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;6636346.71;2019-07-05
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;6636346.63;2020-01-08
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;6636345.63;2019-10-08
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Preferencial;;Juros Sobre Capital Próprio;6176570.72;2019-03-04
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Preferencial;;Juros Sobre Capital Próprio;6176570.41;2020-01-08
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Preferencial;;Juros Sobre Capital Próprio;6176569.67;2019-10-08
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Preferencial;;Juros Sobre Capital Próprio;6176570.67;2019-07-05
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;2017-01-01;2017-12-31;Ordinária;;Outros;836677.90;2019-05-31
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;2018-01-01;2018-12-31;Ordinária;;Outros;950000.00;2019-12-20
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2017-01-01;2017-12-31;Ordinária;;;23310923.39;2018-04-27
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2018-01-01;2018-12-31;Ordinária;;Outros;18954111.81;2019-04-27
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;1995127.67;2019-04-27
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;2148696.35;2020-04-16
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2017-01-01;2017-12-31;Ordinária;;Dividendo Obrigatório;7959094.26;2018-12-26
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;31893130.28;2018-12-26
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2017-01-01;2017-12-31;Preferencial;Preferencial Classe A;Dividendo Obrigatório;322329.87;2018-12-26
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2017-01-01;2017-12-31;Preferencial;Preferencial Classe C;Dividendo Obrigatório;2121345.33;2018-12-26
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2017-01-01;2017-12-31;Preferencial;Preferencial Classe R;Juros Sobre Capital Próprio;3125557.87;2018-12-26
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;9436897.05;2019-08-28
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;20562091.32;2019-08-28
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2018-01-01;2018-12-31;Preferencial;Preferencial Classe A;Dividendo Obrigatório;382178.39;2019-08-28
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2018-01-01;2018-12-31;Preferencial;Preferencial Classe C;Dividendo Obrigatório;2515225.58;2019-08-28
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2018-01-01;2018-12-31;Preferencial;Preferencial Classe R;Juros Sobre Capital Próprio;3125557.87;2019-08-28
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;28067661.35;2019-11-22
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;7452358.22;2019-11-22
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Preferencial;Preferencial Classe A;Juros Sobre Capital Próprio;1136692.87;2019-11-22
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Preferencial;Preferencial Classe A;Dividendo Obrigatório;301818.54;2019-11-22
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Preferencial;Preferencial Classe B;Juros Sobre Capital Próprio;189186.15;2019-11-22
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Preferencial;Preferencial Classe C;Juros Sobre Capital Próprio;7480901.75;2019-11-22
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Preferencial;Preferencial Classe C;Dividendo Obrigatório;1986284.46;2019-11-22
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Preferencial;Preferencial Classe R;Juros Sobre Capital Próprio;3125557.87;2019-11-22
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;329604503.16;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;319354816.99;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2017-01-01;2017-12-31;Preferencial;Preferencial Classe A;Juros Sobre Capital Próprio;973.63;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2017-01-01;2017-12-31;Preferencial;Preferencial Classe A;Juros Sobre Capital Próprio;943.35;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2017-01-01;2017-12-31;Preferencial;Preferencial Classe B;;37858523.00;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2017-01-01;2017-12-31;Preferencial;Preferencial Classe B;Juros Sobre Capital Próprio;36681239.39;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;866769860.00;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2018-01-01;2018-12-31;Preferencial;Preferencial Classe A;Juros Sobre Capital Próprio;2560.00;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2018-01-01;2018-12-31;Preferencial;Preferencial Classe B;Juros Sobre Capital Próprio;99557580.00;
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2019-01-01;2019-12-31;Ordinária;;Juros Sobre Capital Próprio;6500000.00;
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2017-01-01;2017-12-31;Ordinária;;;0.00;
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2018-01-01;2018-12-31;Ordinária;;;0.00;
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2017-01-01;2017-12-31;Ordinária;;Dividendo Obrigatório;72021037.80;2018-03-08
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2017-01-01;2017-12-31;Ordinária;;Dividendo Obrigatório;40331781.17;2017-09-01
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2017-01-01;2017-12-31;Preferencial;;Dividendo Obrigatório;100961692.70;2018-03-08
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2017-01-01;2017-12-31;Preferencial;;Dividendo Obrigatório;56538547.91;2017-09-01
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;40331781.17;2018-11-04
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;98279211.94;2019-03-11
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2018-01-01;2018-12-31;Ordinária;;Dividendo Obrigatório;22679818.14;2019-04-10
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2018-01-01;2018-12-31;Preferencial;;Dividendo Obrigatório;56538547.91;2018-11-04
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2018-01-01;2018-12-31;Preferencial;;Dividendo Obrigatório;137613836.36;2019-03-11
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2018-01-01;2018-12-31;Preferencial;;Dividendo Obrigatório;31757039.16;2019-04-10
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;48383612.03;2020-04-03
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Ordinária;;Dividendo Obrigatório;32658938.12;2019-08-23
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Preferencial;;Dividendo Obrigatório;67748350.21;2020-04-03
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Preferencial;;Dividendo Obrigatório;45730136.39;2019-08-23
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;2017-01-01;2017-12-31;Ordinária;;Outros;2743816.88;2018-05-04
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;2017-01-01;2017-12-31;Ordinária;;Outros;1997738.93;2017-11-10
