CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Tipo_Obrigacao;Tipo_Garantia;Descricao_Outras_Garantias;Divida_Inferior_1_Ano;Divida_1a3Anos;Divida_3a5Anos;Divida_Superior_5Anos;Divida_Total;Observacao
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;2019-12-01;2019-12-31;Empréstimo;Quirografárias;;886115093.45;449313443.60;474097483.30;0.00;1809526020.35;Nota 1: as dívidas com garantia de aval, sem garantia real, foram classificadas como dívidas quirografárias. As garantias reais constituem direito sobre ativos da emissora/devedora da dívida e estão inseridas em contratos com entidades privadas, emissões de títulos de dívida e financiamentos, estes principalmente com órgãos de fomento. Nota 2: total de obrigações de dívida considera empréstimos e financiamentos, incluindo encargos (R$ 1.647.279 mil no passivo circulante e R$ 3.190.105 mil no passivo não circulante), debêntures (R$ 38.942 mil no passivo circulante e R$ 2.838.828 mil no passivo não circulante), instrumentos financeiros derivativos, líquido atrelados à dívida ("swaps") (R$ 779 mil no passivo circulante deduzido de R$ 270.224 mil no ativo circulante e R$ 236.620 mil no ativo não circulante).
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;2019-12-01;2019-12-31;Financiamento;Garantia Real;;284022181.93;581833007.11;351234465.87;439747311.47;1656836966.38;Nota 1: as dívidas com garantia de aval, sem garantia real, foram classificadas como dívidas quirografárias. As garantias reais constituem direito sobre ativos da emissora/devedora da dívida e estão inseridas em contratos com entidades privadas, emissões de títulos de dívida e financiamentos, estes principalmente com órgãos de fomento. Nota 2: total de obrigações de dívida considera empréstimos e financiamentos, incluindo encargos (R$ 1.647.279 mil no passivo circulante e R$ 3.190.105 mil no passivo não circulante), debêntures (R$ 38.942 mil no passivo circulante e R$ 2.838.828 mil no passivo não circulante), instrumentos financeiros derivativos, líquido atrelados à dívida ("swaps") (R$ 779 mil no passivo circulante deduzido de R$ 270.224 mil no ativo circulante e R$ 236.620 mil no ativo não circulante).
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;2019-12-01;2019-12-31;Financiamento;Quirografárias;;67584356.71;151591314.47;156937128.37;378933154.95;755045954.50;Nota 1: as dívidas com garantia de aval, sem garantia real, foram classificadas como dívidas quirografárias. As garantias reais constituem direito sobre ativos da emissora/devedora da dívida e estão inseridas em contratos com entidades privadas, emissões de títulos de dívida e financiamentos, estes principalmente com órgãos de fomento. Nota 2: total de obrigações de dívida considera empréstimos e financiamentos, incluindo encargos (R$ 1.647.279 mil no passivo circulante e R$ 3.190.105 mil no passivo não circulante), debêntures (R$ 38.942 mil no passivo circulante e R$ 2.838.828 mil no passivo não circulante), instrumentos financeiros derivativos, líquido atrelados à dívida ("swaps") (R$ 779 mil no passivo circulante deduzido de R$ 270.224 mil no ativo circulante e R$ 236.620 mil no ativo não circulante).
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;2019-12-01;2019-12-31;Títulos de dívida;Quirografárias;;179054255.92;764231175.76;1492914803.75;551478523.36;2987678758.79;Nota 1: as dívidas com garantia de aval, sem garantia real, foram classificadas como dívidas quirografárias. As garantias reais constituem direito sobre ativos da emissora/devedora da dívida e estão inseridas em contratos com entidades privadas, emissões de títulos de dívida e financiamentos, estes principalmente com órgãos de fomento. Nota 2: total de obrigações de dívida considera empréstimos e financiamentos, incluindo encargos (R$ 1.647.279 mil no passivo circulante e R$ 3.190.105 mil no passivo não circulante), debêntures (R$ 38.942 mil no passivo circulante e R$ 2.838.828 mil no passivo não circulante), instrumentos financeiros derivativos, líquido atrelados à dívida ("swaps") (R$ 779 mil no passivo circulante deduzido de R$ 270.224 mil no ativo circulante e R$ 236.620 mil no ativo não circulante).
01.104.937/0001-70;2020-01-01;4;103315;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;20842000.00;35176000.00;0.00;0.00;56018000.00;
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;2500000.00;7500000.00;0.00;0.00;10000000.00;
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;31915000.00;62485000.00;0.00;0.00;94400000.00;
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;17358000.00;42963000.00;4707000.00;0.00;65028000.00;
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;13564000.00;35872000.00;0.00;0.00;49436000.00;
01.258.944/0001-26;2020-01-01;1;95596;RUMO MALHA SUL S.A.;2019-01-01;2019-12-31;Empréstimo;Outras garantias ou privilégios;Fidejussória;3263.32;6273.58;5924.53;5333.32;20794.75;
01.258.944/0001-26;2020-01-01;1;95596;RUMO MALHA SUL S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;70831.37;130938.49;117956.79;0.00;319726.65;
01.258.944/0001-26;2020-01-01;1;95596;RUMO MALHA SUL S.A.;2019-01-01;2019-12-31;Financiamento;Quirografárias;;315758.15;335401.70;184717.53;83915.75;919793.13;
01.319.044/0001-41;2020-01-01;1;95401;WTC AMAZONAS SUITE HOTEL S.A.;2019-01-01;2019-12-31;Títulos de dívida;Garantia Flutuante;;809461139.00;0.00;0.00;0.00;809461139.00;
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;403070000.00;134356666.67;67178333.33;0.00;604605000.00;
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;20086473.02;285411248.27;56079204.46;124994430.66;486571356.41;
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;60679939.32;770825410.29;839087731.10;91681736.62;1762274817.33;
01.543.032/0001-04;2020-01-01;6;103084;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;68457054.42;172740885.28;50382758.21;-59455945.14;232124752.77;As informações acima se referem às demonstrações financeiras da Companhia. O total demonstrado na tabela acima considera o saldo de empréstimos, financiamentos e instrumentos financeiros (derivativos). A separação dos valores das obrigações da Companhia em função das garantias atreladas utilizou as categorias garantia real, garantia flutuante e quirografária, bem como outro tipo de garantia ou privilégio. Quirografárias: contemplam também as garantias fidejussórias que são as fianças e avais corporativos dados pela controladora, bem como os demais passivos sem garantia específica. Garantias reais: referem-se a recebíveis, vinculação de receitas, direitos creditórios, vinculação de bens próprios, alienação fiduciária, cessão fiduciária e penhor de quotas. Garantias Flutuantes: são aquelas que asseguram privilégio geral sobre o ativo da Companhia, mas não impedem a negociação dos bens que compõem esse ativo. A Companhia não possui obrigações com a categoria de garantias flutuantes.
01.543.032/0001-04;2020-01-01;6;103084;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;407491363.58;750000000.01;0.00;0.00;1157491363.59;As informações acima se referem às demonstrações financeiras da Companhia. O total demonstrado na tabela acima considera o saldo de empréstimos, financiamentos e instrumentos financeiros (derivativos). A separação dos valores das obrigações da Companhia em função das garantias atreladas utilizou as categorias garantia real, garantia flutuante e quirografária, bem como outro tipo de garantia ou privilégio. Quirografárias: contemplam também as garantias fidejussórias que são as fianças e avais corporativos dados pela controladora, bem como os demais passivos sem garantia específica. Garantias reais: referem-se a recebíveis, vinculação de receitas, direitos creditórios, vinculação de bens próprios, alienação fiduciária, cessão fiduciária e penhor de quotas. Garantias Flutuantes: são aquelas que asseguram privilégio geral sobre o ativo da Companhia, mas não impedem a negociação dos bens que compõem esse ativo. A Companhia não possui obrigações com a categoria de garantias flutuantes.
01.543.032/0001-04;2020-01-01;6;103084;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;2019-01-01;2019-12-31;Financiamento;Quirografárias;;902022966.67;87221040.72;40794479.54;36423787.77;1066462274.70;As informações acima se referem às demonstrações financeiras da Companhia. O total demonstrado na tabela acima considera o saldo de empréstimos, financiamentos e instrumentos financeiros (derivativos). A separação dos valores das obrigações da Companhia em função das garantias atreladas utilizou as categorias garantia real, garantia flutuante e quirografária, bem como outro tipo de garantia ou privilégio. Quirografárias: contemplam também as garantias fidejussórias que são as fianças e avais corporativos dados pela controladora, bem como os demais passivos sem garantia específica. Garantias reais: referem-se a recebíveis, vinculação de receitas, direitos creditórios, vinculação de bens próprios, alienação fiduciária, cessão fiduciária e penhor de quotas. Garantias Flutuantes: são aquelas que asseguram privilégio geral sobre o ativo da Companhia, mas não impedem a negociação dos bens que compõem esse ativo. A Companhia não possui obrigações com a categoria de garantias flutuantes.
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Flutuante;;11357124.56;21696308.12;4984592.87;0.00;38038025.55;
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;721915424.61;209512383.49;23144000.00;858000.00;955429808.10;
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Outras garantias ou privilégios;Garantia Subordinada ou sem Subordinação;222894000.00;135992000.00;0.00;0.00;358886000.00;
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;230942000.00;9065000.00;0.00;0.00;240007000.00;
01.548.981/0001-79;2020-01-01;5;103780;INVESTIMENTOS BEMGE S.A.;2019-01-01;2019-12-31;Financiamento;Quirografárias;;0.00;0.00;0.00;0.00;0.00;
01.599.101/0001-93;2020-01-01;7;99476;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;60889000.00;101489000.00;66024000.00;0.00;228402000.00;Observação: As informações desta tabela se baseiam nas demonstrações financeiras consolidadas auditadas da Companhia relativas a 31 de dezembro de 2019 (preparada em IFRS). O montante total indicado corresponde à soma dos valores de Empréstimos, financiamentos e debêntures. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações da Companhia.
01.599.101/0001-93;2020-01-01;7;99476;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;28371000.00;27277000.00;26148000.00;37473000.00;119269000.00;Observação: As informações desta tabela se baseiam nas demonstrações financeiras consolidadas auditadas da Companhia relativas a 31 de dezembro de 2019 (preparada em IFRS). O montante total indicado corresponde à soma dos valores de Empréstimos, financiamentos e debêntures. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações da Companhia.
01.616.929/0001-02;2020-01-01;11;103558;SANEAMENTO DE GOIAS SA;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;226405000.00;441124000.00;74098118.00;319314882.00;1060942000.00;As informações acima se referem às demonstrações financeiras consolidadas da Companhia. Os valores acima descritos referem-se a posição Bruta das obrigações, não sendo abatidos de contas redutoras como custos de transações, cotas subordinadas do FIDC IV e outros ajustes contábeis.As dívidas com garantias reais constituem direito sobre ativos da emissora/devedora foram classificadas como dívidas com garantia real.
01.838.723/0001-27;2020-01-01;11;104527;BRF S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;2952474818.00;3119076328.00;533698667.00;800548010.00;7405797823.00;ObservaçãoAs informações prestadas neste item se referem às informações contábeis consolidadas da Companhia.Para segregação das obrigações da Companhia, foram levados em consideração os seguintes critérios:(i) foram consideradas dívidas com garantia real todas as dívidas garantidas por garantia real, assim entendidas a hipoteca e o penhor, dentre outras garantias reais(ii) foram consideradas dívidas quirografárias todas as dívidas que não possuem garantia ou que possuem garantia fidejussória, assim entendidas a garantia de aval e a fiança, dentre outras garantias fidejussórias e (iii) a Companhia não possui dívidas com garantia flutuante.
01.838.723/0001-27;2020-01-01;11;104527;BRF S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;51236180.00;0.00;0.00;0.00;51236180.00;ObservaçãoAs informações prestadas neste item se referem às informações contábeis consolidadas da Companhia.Para segregação das obrigações da Companhia, foram levados em consideração os seguintes critérios:(i) foram consideradas dívidas com garantia real todas as dívidas garantidas por garantia real, assim entendidas a hipoteca e o penhor, dentre outras garantias reais(ii) foram consideradas dívidas quirografárias todas as dívidas que não possuem garantia ou que possuem garantia fidejussória, assim entendidas a garantia de aval e a fiança, dentre outras garantias fidejussórias e (iii) a Companhia não possui dívidas com garantia flutuante.
