CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;e;Resultado Líquido;18888000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;f;Número de Ações, Ex-Tesouraria;2851000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;g;Valor Patrimonial da Ação (Reais Unidade);37.79000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;h;Resultado Básico por Ação;5.86000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;i;Resultado Diluído por Ação;5.86000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;a;Patrimônio Líquido;1265490158.90000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;b;Ativo Total;14119135320.31000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2751040896.57000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;d;Resultado Bruto;1692069165.98000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;e;Resultado Líquido;256056171.92000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;f;Número de Ações, Ex-Tesouraria;36304650.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;g;Valor Patrimonial da Ação (Reais Unidade);35.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;h;Resultado Básico por Ação;7.16000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2017-01-01;2017-01-31;i;Resultado Diluído por Ação;7.16000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;a;Patrimônio Líquido;1369869576.97000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;b;Ativo Total;15221242685.76000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2589296711.26000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;d;Resultado Bruto;1774221280.98000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;e;Resultado Líquido;250582758.84000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;f;Número de Ações, Ex-Tesouraria;36304650.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;g;Valor Patrimonial da Ação (Reais Unidade);37.73000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;h;Resultado Básico por Ação;6.90000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;i;Resultado Diluído por Ação;6.90000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;a;Patrimônio Líquido;1737325480.05000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;b;Ativo Total;17021195220.77000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2677938264.55000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;d;Resultado Bruto;1953136040.38000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;e;Resultado Líquido;418835798.64000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;f;Número de Ações, Ex-Tesouraria;36304650.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;g;Valor Patrimonial da Ação (Reais Unidade);47.85000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;h;Resultado Básico por Ação;11.84000000;Consolidado;Real;Unidade
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;i;Resultado Diluído por Ação;11.84000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;a;Patrimônio Líquido;42752532000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;b;Ativo Total;172975359000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;29441332000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;d;Resultado Bruto;22502386000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;e;Resultado Líquido;-1725691000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;f;Número de Ações, Ex-Tesouraria;1352634100.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;g;Valor Patrimonial da Ação (Reais Unidade);31.50227300;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;h;Resultado Básico por Ação;-1.30397800;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017-01-01;2017-12-31;i;Resultado Diluído por Ação;-1.30000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;a;Patrimônio Líquido;56008948000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;b;Ativo Total;181210208000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;25772305000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;d;Resultado Bruto;20235242000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;e;Resultado Líquido;13347577000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;f;Número de Ações, Ex-Tesouraria;1352634100.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;g;Valor Patrimonial da Ação (Reais Unidade);41.40731600;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;h;Resultado Básico por Ação;9.80485300;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;i;Resultado Diluído por Ação;9.71000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;a;Patrimônio Líquido;71394146000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;b;Ativo Total;177466715000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;27725527000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;d;Resultado Bruto;20947708000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;e;Resultado Líquido;10743843000.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;f;Número de Ações, Ex-Tesouraria;1352634100.00000000;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;g;Valor Patrimonial da Ação (Reais Unidade);52.78156600;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;h;Resultado Básico por Ação;7.90836500;Consolidado;Real;Unidade
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;i;Resultado Diluído por Ação;6.77000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;a;Patrimônio Líquido;858482000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;b;Ativo Total;3602748000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2716256000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;d;Resultado Bruto;506425000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;e;Resultado Líquido;155552000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;f;Número de Ações, Ex-Tesouraria;14416383.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;g;Valor Patrimonial da Ação (Reais Unidade);51.62000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;h;Resultado Básico por Ação;8.68860000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2017-01-01;2017-12-31;i;Resultado Diluído por Ação;8.68000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;a;Patrimônio Líquido;939908000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;b;Ativo Total;3741671000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2590210000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;d;Resultado Bruto;380312000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;e;Resultado Líquido;115710000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;f;Número de Ações, Ex-Tesouraria;14416383.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;g;Valor Patrimonial da Ação (Reais Unidade);50.95000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;h;Resultado Básico por Ação;5.99480000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;i;Resultado Diluído por Ação;5.99000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;a;Patrimônio Líquido;1000675000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;b;Ativo Total;3687354000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2749738000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;d;Resultado Bruto;491803000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;e;Resultado Líquido;156629000.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;f;Número de Ações, Ex-Tesouraria;14416383.00000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;g;Valor Patrimonial da Ação (Reais Unidade);54.38000000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;h;Resultado Básico por Ação;7.86340000;Consolidado;Real;Unidade
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;i;Resultado Diluído por Ação;7.86000000;Consolidado;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2017-01-01;2017-12-31;a;Patrimônio Líquido;-38138000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2017-01-01;2017-12-31;b;Ativo Total;18669000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2017-01-01;2017-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;429000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2017-01-01;2017-12-31;d;Resultado Bruto;429000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2017-01-01;2017-12-31;e;Resultado Líquido;-3740000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2017-01-01;2017-12-31;h;Resultado Básico por Ação;-374.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;a;Patrimônio Líquido;-40549000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;b;Ativo Total;19473000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;444000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;d;Resultado Bruto;444000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;e;Resultado Líquido;-2411000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;h;Resultado Básico por Ação;-241.10000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;a;Patrimônio Líquido;-48183000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;b;Ativo Total;20257000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;467000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;d;Resultado Bruto;467000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;e;Resultado Líquido;-7634000.00000000;Individual;Real;Unidade
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;h;Resultado Básico por Ação;-763.40000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2017-01-01;2017-12-31;a;Patrimônio Líquido;178248.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2017-01-01;2017-12-31;b;Ativo Total;178614.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2017-01-01;2017-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;8779.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2017-01-01;2017-12-31;d;Resultado Bruto;-157471.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2017-01-01;2017-12-31;e;Resultado Líquido;157471.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2018-01-01;2018-12-31;a;Patrimônio Líquido;16018.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2018-01-01;2018-12-31;b;Ativo Total;16586.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2018-01-01;2018-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;4649.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2018-01-01;2018-12-31;d;Resultado Bruto;162230.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2018-01-01;2018-12-31;e;Resultado Líquido;162230.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2019-01-01;2019-12-31;a;Patrimônio Líquido;52183.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2019-01-01;2019-12-31;b;Ativo Total;52829.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;5691.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2019-01-01;2019-12-31;d;Resultado Bruto;-163835.00000000;Individual;Real;Unidade
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;2019-01-01;2019-12-31;e;Resultado Líquido;-163835.00000000;Individual;Real;Unidade
