CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
33.040.601/0001-87;2020-01-01;6;103371;MERCANTIL FINANCEIRA S.A. - SOC. CRÉDITO, FINANC E INVESTIME;782;110;1;506850;4.979092;2023621;25.843021;2530471;14.053664;2019-12-31
33.041.260/0652-90;2020-01-01;14;104429;GRUPO CASAS BAHIA S.A.;495369;4709;1685;1595508601;99.884465;0;0.000000;1595508601;99.884465;2021-04-27
33.042.730/0001-04;2020-01-01;16;104635;CIA SIDERURGICA NACIONAL;76281;1437;1437;642398790;46.298000;0;0.000000;642398790;46.298000;2020-04-30
33.050.071/0001-58;2020-01-01;9;103010;AMPLA ENERGIA E SERVICOS S.A.;889;44;6;442934;0.265812;0;0.000000;442934;0.265812;2020-06-30
33.050.196/0001-88;2020-01-01;5;103983;CIA PAULISTA DE FORCA E LUZ;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-29
33.102.476/0001-92;2020-01-01;5;103734;MONTEIRO ARANHA S.A.;262;9;10;270725;2.210000;0;0.000000;270725;2.210000;2021-03-08
33.111.246/0001-90;2020-01-01;1;95312;TECNOSOLO ENGENHARIA S.A. - EMPRESA FALIDA;0;0;0;0;0.000000;0;0.000000;0;0.000000;
33.113.309/0001-47;2020-01-01;12;104615;VALID SOLUÇÕES S.A.;20134;402;76;78582401;95.737822;0;0.000000;78582401;95.737822;2020-04-29
33.200.049/0001-47;2020-01-01;1;95038;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;776;60;16;193004;1.842007;2369881;30.019416;2562885;13.949639;2020-04-30
33.228.024/0001-51;2020-01-01;3;103599;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;3678;20;13;810490;4.890949;4690765;23.638858;5501255;15.107249;2020-04-30
33.256.439/0001-39;2020-01-01;8;103055;ULTRAPAR PARTICIPACOES S.A.;33534;805;1483;1085987426;97.391280;0;0.000000;1085987426;97.391280;2021-04-14
33.352.394/0001-04;2020-01-01;14;103300;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;691;5;0;2460;0.000400;0;0.000000;2460;0.000400;2014-04-30
33.376.989/0001-91;2020-01-01;15;103842;IRB - BRASIL RESSEGUROS S.A.;289488;1479;1164;1255286531;99.006000;0;0.000000;1255286531;99.006000;2020-07-31
