CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;1995-03-09;Companhia Aberta - Categoria A - Sem Ações em Bolsa;BR;Brasil;;1995-07-26;N
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;1995-05-19;Fomos constituídos sob a forma de sociedade empresária limitada e, posteriormente, transformados em sociedade por ações em 20 de novembro de 1995.;BR;Brasil;;2011-09-19;N
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;1995-05-31;Constituída sob a forma de sociedade por ações.;BR;Brasil;;2000-02-04;N
00.743.065/0001-27;2022-01-01;1;115698;LITEL PARTICIPACOES S.A.;1995-07-21;Sociedade Anônima de capital privado;BR;Brasil;;1995-10-18;N
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2006-12-13;Em 23 de novembro de 2006, a Americanas.com S/A - Comércio Eletrônico e Submarino celebraram o Acordo de Fusão, resultando na criação da B2W, sociedade que consolidou as operações de Americanas.com e Submarino, sucedendo-as em todos os respectivos direitos e obrigações. A fusão foi aprovada pela Lojas Americanas S.A., única acionista da Americanas.com, e pelos acionistas do Submarino em 13 de dezembro de 2006. Em 31 de março de 2007, foi aprovada a incorporação do acervo líquido da B2W pela TV Sky Shop. Após a incorporação, a TV Sky Shop passou a ser denominada "B2W - Companhia Global do Varejo". Na Assembleia Geral Extraordinária realizada em 30/04/2013 foi aprovada a alteração da denominação social para "B2W - Companhia Digital". Em 10 de junho de 2021, foi aprovada, em Assembleia Geral Extraordinária, a incorporação do acervo total cindido de Lojas Americanas S.A. pela B2W Digital, que passou a concentrar todas as operações do grupo e passou a ser denominada Americanas S.A..;BR;Brasil;;2007-07-26;N
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;1995-08-09;Constituída sob a forma de sociedade por ações.;BR;Brasil;;1995-12-20;N
00.897.864/0001-58;2022-01-01;1;113493;SANTA CATARINA PART INVEST SA;1995-11-13;sociedade anonima;BR;Brasil;;1995-12-14;N
00.924.429/0001-75;2022-01-01;7;123538;FERROVIA CENTRO-ATLANTICA S.A.;1995-08-14;Sociedade por ações;BR;Brasil;;1996-02-12;N
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;1995-11-07;Sociedade por Ações;BR;Brasil;2022-09-21;2001-12-26;N
00.974.211/0001-25;2022-01-01;1;116172;LINHA AMARELA S.A. - LAMSA;1995-11-21;Sociedade por ações;BR;Brasil;;2020-04-08;N
00.979.969/0001-56;2022-01-01;1;114163;CAIXA ADM DIV PUB ESTADUAL SA;1995-12-28;Sociedade de Economia Mista sob a forma de Sociedade Anônima;BR;Brasil;;1996-09-04;N
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;1995-11-23;A Companhia foi constituída sob a forma de uma sociedade anônima de capital fechado;BR;Brasil;;2009-06-25;N
01.083.200/0001-18;2022-01-01;9;126025;NEOENERGIA S.A.;1996-02-14;Constituição por subscrição particular;BR;Brasil;;1996-05-08;N
01.104.937/0001-70;2022-01-01;2;125970;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;1996-01-20;Criada em 15 de dezembro de 1995, através da Lei n° 9.163.;BR;Brasil;;1996-09-30;N
01.107.327/0001-20;2022-01-01;4;125657;BBM LOGÍSTICA S.A.;1996-03-06;Sociedade Limitada;BR;Brasil;;2019-02-27;N
01.258.944/0001-26;2022-01-01;5;126330;RUMO MALHA SUL S.A.;1996-04-30;Sociedade Anônima;BR;Brasil;;1996-08-29;N
01.319.044/0001-41;2022-01-01;1;116442;WTC AMAZONAS SUITE HOTEL S.A.;1996-06-01;A Empresa foi constituida sob a forma de Sociedade Anônima, tendo como objeto propósito especifico.;BR;Brasil;;1996-09-18;N
01.417.222/0001-77;2022-01-01;6;125816;MRS LOGISTICA S.A.;1996-08-30;Sociedade Anônima;BR;Brasil;;1998-11-13;N
01.543.032/0001-04;2022-01-01;9;123966;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;1956-02-16;Sociedade por ações;BR;Brasil;;2021-02-12;N
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;1996-11-12;Sociedade Anônima;BR;Brasil;;1997-02-21;N
01.548.981/0001-79;2022-01-01;5;125596;INVESTIMENTOS BEMGE S.A.;1964-03-05;Sociedade Anônima;BR;Brasil;;1977-07-20;N
01.599.101/0001-93;2022-01-01;33;126901;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;1996-12-05;Sociedade limitada;BR;Brasil;;2020-10-05;N
01.616.929/0001-02;2022-01-01;7;125984;SANEAMENTO DE GOIAS SA;1967-09-13;Sociedade por Ações;BR;Brasil;;2001-12-11;N
01.838.723/0001-27;2022-01-01;16;125591;BRF S.A.;1934-08-18;Companhia Aberta;BR;Brasil;;1997-06-24;N
01.851.771/0001-55;2022-01-01;2;125645;524 PARTICIPACOES S.A.;1997-04-02;Constituída como uma sociedade anônima de capital aberto;BR;Brasil;;1997-05-30;N
01.896.779/0001-38;2022-01-01;4;120648;CSU DIGITAL S.A.;1997-04-18;CardSystem Ltda foi criada em 1992 e, posteriormente, foi convertida na CSU CardSystem S.A. - Sociedade por ações;BR;Brasil;;2006-04-25;N
01.917.818/0001-36;2022-01-01;18;127410;LIGHT ENERGIA S.A.;1997-06-23;Sociedade Anônima;BR;Brasil;;2013-01-11;N
01.938.783/0001-11;2022-01-01;6;126113;CIA PARTICIPACOES ALIANCA DA BAHIA;1997-05-14;Sociedade Anônima;BR;Brasil;;2000-07-26;N
01.957.772/0001-89;2022-01-01;2;130615;SUL 116 PARTICIPACOES S.A.;2017-06-05;Sociedade por Ações de Capital Fechado;BR;Brasil;;;S
01.968.293/0001-68;2022-01-01;3;121060;ELETRORIVER S.A.;1997-05-28;Sociedade por Ações;BR;Brasil;;2022-07-14;N
01.989.044/0001-59;2022-01-01;1;116453;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1997-06-16;A Empresa foi constituida sob a forma de Sociedade Anônima, tendo como objeto propósito especifico.;BR;Brasil;;1997-10-30;N
02.016.440/0001-62;2022-01-01;5;125875;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1997-07-28;Constituída sob a forma de sociedade por ações;BR;Brasil;;1997-10-13;N
02.041.460/0001-93;2022-01-01;6;123617;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;1997-08-14;Constituída sob a forma de sociedade limitada.;BR;Brasil;;2022-11-11;N
02.062.747/0001-08;2022-01-01;2;125655;SUDESTE S.A.;1997-07-22;Constituída como uma sociedade anônima de capital aberto;BR;Brasil;;1997-11-10;N
02.105.040/0001-23;2022-01-01;1;114700;VIRGO II COMPANHIA DE SECURITIZACAO;1997-07-31;Empresa aberta, constituida sob a forma de sociedade anônima de capital fechado;BR;Brasil;;1999-05-31;N
02.149.205/0001-69;2022-01-01;9;126960;PORTO SEGURO S.A.;1997-09-22;Sociedade Por Ações;BR;Brasil;;1997-11-28;N
02.162.616/0001-94;2022-01-01;2;118339;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;1997-09-08;Sociedade por ações de capital aberto, privado e nacional;BR;Brasil;;1997-11-19;N
02.193.750/0001-52;2022-01-01;5;127063;DEXXOS PARTICIPAÇÕES S.A.;1997-10-01;A Dexxos Participações S.A. foi constituída em 1º de outubro de 1997, por cisão da Refinaria de Petróleo de Manguinhos S.A., conforme atos constitutivos.A alteração da denominação social, de GPC Participações S.A. para Dexxos Participações S.A., foi deliberada e aprovada em Assembleia Geral Extraordinária realizada em 07/06/2021.;BR;Brasil;;1997-11-20;N
02.201.787/0001-85;2022-01-01;1;115828;CEL PARTICIPAÇÕES S.A. - CELPAR;1997-09-10;SPE;BR;Brasil;;1997-12-01;N
02.217.319/0001-07;2022-01-01;2;124153;YBYRÁ CAPITAL S.A.;1997-10-06;constituida como sociedade anônima de capital aberta;BR;Brasil;;1997-12-08;N
02.255.187/0001-08;2022-01-01;6;125729;UNIFIQUE TELECOMUNICAÇÕES S.A.;1997-11-05;Sociedade Limitada;BR;Brasil;;2021-07-23;N
02.258.422/0001-97;2022-01-01;1;115539;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;1997-10-31;S.A. de capital aberto - subsidiária integral da Inepar S.A. Indústria e Construções - Em Recuperação Judicial;BR;Brasil;;1998-10-23;N
02.281.836/0001-37;2022-01-01;7;126066;TRANSNORDESTINA LOGISTICA SA;1997-11-27;A Companhia foi constituída sob a forma de sociedade anônima de capital fechado em 27 de novembro de 1997, e possui sede na cidade de Fortaleza, Estado do Ceará, tendo iniciado suas atividades em janeiro de 1998, originalmente com o nome de Companhia Ferroviária do Nordeste S.A ("CFN"). Em 12 de maio de 2008, em Assembléia Geral Ordinária e Extraordinária, a Companhia decidiu alterar a razão social da CFN para a atual denominação.;BR;Brasil;;2007-01-11;N
02.286.479/0001-08;2022-01-01;4;124699;LOCALIZA FLEET S.A.;1997-12-15;Constituída sob a forma de sociedade limitada.;BR;Brasil;;2019-10-10;N
02.291.077/0001-93;2022-01-01;4;125148;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;1997-12-10;Sociedade por ações;BR;Brasil;;2002-02-07;N
02.302.100/0001-06;2022-01-01;12;126004;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;1997-12-22;Constituída sob a forma de sociedade por ações.;BR;Brasil;;1998-03-27;N
02.302.101/0001-42;2022-01-01;8;125410;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;1997-12-22;Sociedade por ações;BR;Brasil;;1998-03-27;N
02.328.280/0001-97;2022-01-01;6;125930;ELEKTRO REDES S.A.;1998-01-06;A Elektro Redes S.A. foi constituída em 06 de janeiro de 1998, como subsidiária integral da CESP, dentro das diretrizes estabelecidas pelo PED - Programa Estadual de Desestatização do Estado de São Paulo, Brasil.;BR;Brasil;;1998-07-08;N
02.338.534/0001-58;2022-01-01;4;126151;LONGDIS S.A.;1997-11-06;Constituída sob a forma de sociedade anônima, por subscrição particular.;BR;Brasil;;1998-06-30;N
02.351.144/0001-18;2022-01-01;8;125199;TEGMA GESTAO LOGISTICA S.A.;1998-01-05;Sociedade Limitada;BR;Brasil;;2007-06-28;N
02.351.877/0001-52;2022-01-01;22;126272;LWSA S/A;1997-12-23;Fomos constituídos sob a forma de sociedade limitada.;BR;Brasil;;2020-02-04;N
02.357.251/0001-53;2022-01-01;4;127301;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;1997-12-22;Sociedade por ações;BR;Brasil;;2019-11-08;N
02.365.069/0001-44;2022-01-01;6;126122;PADTEC HOLDING S.A.;1998-01-26;A Companhia foi constituída sob a forma de sociedade anônima com a denominação de Kikwitt Participações S.A., depois sua denominação social passou a ser Ideiasnet S.A. e a partir de 10/07/2020, Padtec Holding S.A.;BR;Brasil;;1999-08-02;N
02.382.073/0001-10;2022-01-01;2;118535;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;1998-02-02;Sociedade por Ações;BR;Brasil;;2014-08-11;N
02.387.241/0001-60;2022-01-01;23;127111;RUMO S.A.;1997-09-30;Sociedade Anônima;BR;Brasil;;1998-07-02;N
02.397.080/0001-96;2022-01-01;6;124018;ITAPEBI GERACAO DE ENERGIA S.A.;1998-02-27;Constituição por subscrição particular.;BR;Brasil;;2003-02-05;N
02.415.408/0001-50;2022-01-01;12;125304;CONC ROD.OESTE SP VIAOESTE S.A;1998-03-04;A Companhia foi constituída na Cidade de São Paulo, Estado de São Paulo, Brasil, sob a forma de uma sociedade por ações de capital fechado.;BR;Brasil;2024-02-13;2007-07-27;N
02.421.421/0001-11;2022-01-01;9;125541;TIM S.A.;1998-02-11;Limitada;BR;Brasil;;2020-03-17;N
02.429.144/0001-93;2022-01-01;11;127220;CPFL ENERGIA S.A.;1998-03-25;Sociedade por Ações;BR;Brasil;;2000-05-18;N
02.451.848/0001-62;2022-01-01;14;125297;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;1998-03-05;Sociedade por ações de capital aberto;BR;Brasil;2037-12-31;2006-07-19;N
02.474.103/0001-19;2022-01-01;7;126050;ENGIE BRASIL ENERGIA S.A.;1998-01-29;Sociedade por ações;BR;Brasil;;1998-05-28;N
02.502.844/0001-66;2022-01-01;6;126321;RUMO MALHA PAULISTA S.A.;1998-04-02;Sociedade Anônima;BR;Brasil;;1998-11-12;N
02.509.186/0001-34;2022-01-01;3;124669;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;1998-05-04;Constituída sob a forma de Sociedade Anônima Aberta;BR;Brasil;2022-08-14;2013-02-25;N
02.509.491/0001-26;2022-01-01;4;125519;CONC ECOVIAS IMIGRANTES S.A.;1998-04-23;A Concessionária Ecovias dos Imigrantes S.A. ("Companhia") foi constituída em 23 de abril de 1998 sob a forma de capital fechado. Em 18 de dezembro de 2006, obteve seu registro da CVM.;BR;Brasil;;2006-12-18;N
02.558.157/0001-62;2022-01-01;11;125390;TELEFÔNICA BRASIL S.A;1998-05-22;Sob a forma de sociedade anônima.;BR;Brasil;;1998-08-19;N
02.560.878/0001-07;2022-01-01;2;123300;HOSPITAL ANCHIETA S.A.;1995-09-06;Constituição sob a forma de Sociedade Limitada;BR;Brasil;;2021-12-08;N
02.591.787/0001-39;2022-01-01;2;122861;CAPITALPART PARTICIPACOES S.A.;1998-07-01;Constituída sob a forma de sociedade anônima, por subscrição particular.;BR;Brasil;;1998-07-09;N
02.600.854/0001-34;2022-01-01;3;125169;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;1998-06-25;A Companhia foi constituída sob a forma de uma Sociedade anônima.;BR;Brasil;;2023-02-17;N
02.635.522/0001-95;2022-03-31;8;120081;JALLES MACHADO S.A.;1980-11-14;Sociedade anônima;BR;Brasil;;2021-02-04;N
02.643.896/0001-52;2022-01-01;3;118472;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;1999-06-18;A Companhia foi constituída, sob a forma de sociedade de quotas por responsabilidade limitada, denominada à época de "Empresa Patrimonial Industrial I Ltda.".;BR;Brasil;;1999-09-14;N
02.664.042/0001-52;2022-01-01;1;115755;TERMINAL GARAGEM MENEZES CORTES S.A.;1998-11-06;Sociedade anonima de capital com ações não negociadas em mercado aberto e em poder de somente dois sócios pessoas juridicas;BR;Brasil;;2000-07-26;N
02.682.287/0001-02;2022-01-01;5;126946;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1998-06-18;Sociedade por ações;BR;Brasil;;2000-01-25;N
02.724.983/0001-34;2022-01-01;3;125993;SANESALTO SANEAMENTO S.A.;1996-11-06;Companhia S.A.;BR;Brasil;;2004-09-21;N
02.736.470/0001-43;2022-01-01;1;116669;CONFIANZA SECURITIZADORA SA;1998-05-26;Sociedade Anônima;BR;Brasil;;1999-05-04;N
02.762.113/0001-50;2022-01-01;3;120456;BRAZILIAN FINANCE E REAL ESTATE S.A.;1998-08-25;Sociedade Anônima;BR;Brasil;;1998-11-10;N
02.762.121/0001-04;2022-01-01;8;125996;SANTOS BRASIL PARTICIPACOES S.A.;1998-08-25;Sociedade anônima de capital aberto;BR;Brasil;;1998-11-09;N
02.762.124/0001-30;2022-01-01;1;115837;BETAPART PARTICIPACOES S.A.;1998-08-27;Constituída como uma sociedade anônima de capital aberto;BR;Brasil;;1998-11-06;N
02.773.542/0001-22;2022-01-01;2;116214;OPEA SECURITIZADORA S.A.;1998-09-09;Sociedade anônima, por meio de Ata de Assembleia Geral de Constituição;BR;Brasil;;1999-08-02;N
02.783.423/0001-50;2022-01-01;1;116763;ALTERE SECURITIZADORA S.A.;1998-09-14;sob a forma de sociedade por ações, decorrente da cisão parcial da SAQUAREMA PARTICIPAÇÕES S.A., conforme Assembleia Geral Extraordinária realizada em 14 de setembro de 1998, registrada perante a Junta Comercial do Estado de São Paulo (JUCESP), na data de 30 de setembro de 1998.;BR;Brasil;;1998-12-10;N
02.796.775/0001-40;2022-01-01;1;115838;GAMA PARTICIPACOES S.A.;1998-08-25;Constituída sob a forma de sociedade anônima de capital aberto;BR;Brasil;;1998-12-01;N
02.800.026/0001-40;2022-01-01;11;127177;COGNA EDUCAÇÃO S.A.;1966-04-11;Sociedade Anônima de Capital Aberto;BR;Brasil;;1998-12-01;N
02.846.056/0001-97;2022-01-01;17;125620;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;1998-09-23;A Companhia foi constituída em 23 de setembro de 1998, na Cidade de São Paulo, Estado de São Paulo, Brasil, sob a forma de sociedade por ações de capital fechado. Em 19 de dezembro de 2000, a Companhia abriu seu capital.;BR;Brasil;;2000-12-19;N
02.860.694/0001-62;2022-01-01;1;116579;T4F ENTRETENIMENTO S.A.;1998-11-18;Constituída na forma de sociedade limitada na capital do Estado de São Paulo, sob a denominação de Operadora de Bens Paulista Ltda., posteriormente denominada SECOCIE Comércio Administração e Serviços Ltda. ("SECOCIE"), tendo sido transformada, em 31 de dezembro de 2000, em uma sociedade por ações de capital fechado, de acordo com a Lei das Sociedades por Ações. Em 11 de Abril de 2011, devido ao processo de abertura de capital via oferta pública de ações, tornou-se uma sociedade por ações de capital aberto.;BR;Brasil;;2011-04-11;N
02.916.265/0001-60;2022-01-01;13;127102;JBS S.A.;1998-12-16;Sociedade por ações;BR;Brasil;;2007-03-27;N
02.919.555/0001-67;2022-01-01;6;126933;ARTERIS S.A.;1998-11-24;A Companhia foi constituída sob a forma de sociedade limitada. Em abril de 2005 foi aprovada a transformação da sociedade limitada para sociedade por ações. Em julho de 2005, as ações da Companhia passaram a ser negociadas na B3 (na época, denominada BM&FBOVESPA - S.A. - Bolsa de Valores Mercadorias e Futuros).;BR;Brasil;;2005-07-05;N
02.932.074/0001-91;2022-01-01;6;126247;HYPERA S.A.;2001-12-01;A Companhia foi constituída sob a forma de sociedade limitada, sendo transformada em sociedade anônima em 26 de março de 2007;BR;Brasil;;2008-04-16;N
02.950.811/0001-89;2022-01-01;27;127214;PDG REALTY S.A. EMPREEND E PARTICIPACOES;1998-11-17;Sociedade por ações;BR;Brasil;;2007-01-23;N
02.992.449/0001-09;2022-01-01;2;125653;PROMPT PARTICIPACOES S.A.;1998-11-20;Constituída sob forma de Sociedade Anônima;BR;Brasil;;1999-06-18;N
02.998.301/0001-81;2022-01-01;7;127247;RIO PARANAPANEMA ENERGIA S.A.;1999-02-22;Sociedade por ações de capital aberto, em razão da cisão parcial da Companhia Energética de São Paulo ("CESP"), conforme descrito no item 6.3 deste Formulário de Referência.;BR;Brasil;;1999-07-14;N
02.998.611/0001-04;2022-01-01;8;126090;ISA ENERGIA BRASIL;1999-02-04;Constituída sob a forma de sociedade por ações;BR;Brasil;;1999-07-14;N
03.014.553/0001-91;2022-01-01;5;127007;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;1999-01-11;Sociedade por Ações;BR;Brasil;;2002-12-05;N
03.025.305/0001-46;2022-01-01;2;124493;RODOVIAS DAS COLINAS S.A.;1999-02-26;Constituída sob a forma de Sociedade Anonima Aberta;BR;Brasil;2028-07-02;2013-04-25;N
03.207.703/0001-83;2022-01-01;2;125274;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;1999-06-08;Constituída sob a forma de sociedade por ações.;BR;Brasil;2028-04-01;2009-11-27;N
03.220.438/0001-73;2022-01-01;7;127055;EQUATORIAL S.A.;1999-06-16;Sociedade Anônima;BR;Brasil;;2006-03-30;N
03.279.285/0001-30;2022-01-01;5;126074;ORIZON MEIO AMBIENTE S.A.;1999-06-14;Sociedade Limitada;BR;Brasil;;2022-12-19;N
03.303.999/0001-36;2022-01-01;3;122813;DTCOM - DIRECT TO COMPANY S.A.;1999-01-31;SOCIEDADE EMPRESARIAL LTDA;BR;Brasil;;2000-02-04;N
03.342.704/0001-30;2022-01-01;16;124104;PETRORECÔNCAVO S.A.;1999-07-21;Sociedade por ações;BR;Brasil;;2021-04-30;N
03.378.521/0001-75;2022-01-01;22;127408;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;1999-07-27;Sociedade Anônima;BR;Brasil;;2005-12-12;N
03.467.321/0001-99;2022-01-01;11;127078;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;1956-08-04;Sociedade anônima.;BR;Brasil;;1994-10-25;N
03.494.776/0001-01;2022-01-01;4;126180;AMMO VAREJO S.A.;1999-10-14;Sociedade limitada;BR;Brasil;;2021-12-14;N
03.538.833/0001-07;2022-01-01;2;125799;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A.;1999-11-23;Constituída sob a forma de Sociedade Anônima.;BR;Brasil;;2006-03-22;N
03.758.318/0001-24;2022-01-01;10;127092;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;2000-03-20;Sociedade por ações;BR;Brasil;;2000-09-29;N
03.767.538/0001-14;2022-01-01;4;125866;BRAZILIAN SECURITIES CIA SECURITIZACAO;2000-04-10;Sociedade Anônima;BR;Brasil;;2000-09-04;N
03.795.050/0001-09;2022-01-01;5;124014;TERMOPERNAMBUCO S.A.;2000-04-25;Constituição por subscrição particular.;BR;Brasil;;2005-10-31;N
03.802.115/0001-98;2022-01-01;12;127091;CLEAR SALE S.A.;2000-04-24;Sociedade Limitada.;BR;Brasil;;2021-07-28;N
03.818.379/0001-30;2022-01-01;4;120842;SABER SERVIÇOS EDUCACIONAIS S.A.;2000-05-15;Constituído sob a forma de sociedade por ações.;BR;Brasil;;2018-08-13;N
03.820.456/0001-96;2022-01-01;4;122982;BSB ENERGÉTICA S.A.;2000-03-24;Sociedade por Ações;BR;Brasil;;2022-07-13;N
03.847.461/0001-92;2022-01-01;6;125994;BRADESPAR S.A.;2000-03-30;Constituída como Empresa de Administração e Participações - Cia. aberta;BR;Brasil;;2000-08-07;N
03.853.896/0001-40;2022-01-01;10;125073;MARFRIG GLOBAL FOODS S.A.;2000-06-06;Constituída sob a forma de sociedade limitada, sendo que, 26 de março de 2007, por meio de alteração contratual, a Companhia foi transformada em sociedade por ações.;BR;Brasil;;2007-06-18;N
03.953.509/0001-47;2022-01-01;6;125890;CPFL GERACAO DE ENERGIA S.A.;2000-07-19;Sociedade por Ações;BR;Brasil;;2001-06-07;N
03.983.431/0001-03;2022-01-01;8;125441;EDP - ENERGIAS DO BRASIL S.A.;2000-07-24;Constituída sob a forma de sociedade por ações.;BR;Brasil;;2005-07-05;N
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;2000-07-31;Sociedade por ações;BR;Brasil;;2001-10-29;N
04.031.213/0001-31;2022-01-01;4;125906;CACONDE PARTICIPACOES S.A.;2000-07-31;Sociedade por Ações;BR;Brasil;;2001-10-29;N
04.032.433/0001-80;2022-01-01;13;126515;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2000-07-31;Constituída sob a forma de sociedade anônima.;BR;Brasil;;2001-10-29;N
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;2000-07-31;Sociedade por Ações;BR;Brasil;;2001-10-29;N
04.065.791/0001-99;2022-01-01;9;126512;SINQIA S.A.;2000-08-04;Constituída sob a forma de Sociedade Limitada e, posteriormente, transformada em Sociedade por Ações em 04/04/2002;BR;Brasil;;2012-04-26;N
04.065.791/0001-99;2022-03-31;1;113796;SINQIA S.A.;2000-08-04;Constituída sob a forma de Sociedade Limitada e, posteriormente, transformada em Sociedade por Ações em 04/04/2002;BR;Brasil;;2012-04-26;N
04.069.709/0001-02;2022-01-01;3;127077;BIONEXO S.A.;2000-09-13;Sociedade Limitada;BR;Brasil;;2021-06-02;N
04.089.570/0001-50;2022-01-01;2;123652;ÁGUAS GUARIROBA S.A;2000-09-29;Sociedade por Ações;BR;Brasil;;2014-08-06;N
04.149.454/0001-80;2022-01-01;11;126912;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;2000-11-07;A Companhia foi constituída em 07 de novembro de 2000, na capital do Estado de São Paulo, sob a forma de sociedade por ações de capital fechado. Em 1º de abril de 2010, a Companhia obteve seu registro no Novo Mercado.;BR;Brasil;;2003-09-24;N
04.172.213/0001-51;2022-01-01;4;125874;CIA PIRATININGA DE FORCA E LUZ;2000-12-01;Sociedade por ações;BR;Brasil;;2002-04-18;N
