CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
03.025.305/0001-46;2022-01-01;2;124493;RODOVIAS DAS COLINAS S.A.;Debêntures;22;1;299
03.207.703/0001-83;2022-01-01;2;125274;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;Debêntures;0;0;0
03.220.438/0001-73;2022-01-01;7;127055;EQUATORIAL S.A.;Debêntures;4;14;177
03.279.285/0001-30;2022-01-01;5;126074;ORIZON MEIO AMBIENTE S.A.;Debêntures;55914;8605;435481
03.467.321/0001-99;2022-01-01;11;127078;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Debêntures;373;42;392
03.467.321/0001-99;2022-01-01;11;127078;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Nota Comercial;0;0;9
03.758.318/0001-24;2022-01-01;10;127092;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Debêntures Conversíveis;0;1;3
03.767.538/0001-14;2022-01-01;4;125866;BRAZILIAN SECURITIES CIA SECURITIZACAO;Certificado de Recebíveis do Agronegócio;267;2;0
03.767.538/0001-14;2022-01-01;4;125866;BRAZILIAN SECURITIES CIA SECURITIZACAO;Certificados de Recebíveis Imobiliários;1362;72;0
03.795.050/0001-09;2022-01-01;5;124014;TERMOPERNAMBUCO S.A.;Debêntures;0;2;34
03.820.456/0001-96;2022-01-01;4;122982;BSB ENERGÉTICA S.A.;Debêntures;0;0;1
03.853.896/0001-40;2022-01-01;10;125073;MARFRIG GLOBAL FOODS S.A.;Debêntures;0;1;0
03.953.509/0001-47;2022-01-01;6;125890;CPFL GERACAO DE ENERGIA S.A.;Debêntures;0;0;13
03.983.431/0001-03;2022-01-01;8;125441;EDP - ENERGIAS DO BRASIL S.A.;Debêntures;1637;9;124
04.032.433/0001-80;2022-01-01;13;126515;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures Conversíveis;17;5;16
04.065.791/0001-99;2022-01-01;9;126512;SINQIA S.A.;Debêntures;0;1;2
04.065.791/0001-99;2022-03-31;1;113796;SINQIA S.A.;Debêntures;0;1;0
04.089.570/0001-50;2022-01-01;2;123652;ÁGUAS GUARIROBA S.A;Debêntures;318;26;206
04.149.454/0001-80;2022-01-01;11;126912;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Nota Comercial;2;0;3
04.172.213/0001-51;2022-01-01;4;125874;CIA PIRATININGA DE FORCA E LUZ;Debêntures;0;6;10
04.200.649/0001-07;2022-01-01;32;122894;COMPANHIA PROVINCIA DE SECURITIZACAO;Certificado de Recebíveis do Agronegócio;22;22;6
04.200.649/0001-07;2022-01-01;32;122894;COMPANHIA PROVINCIA DE SECURITIZACAO;Certificados de Recebíveis Imobiliários;138;4;30
04.233.319/0001-18;2022-01-01;5;124097;NCF PARTICIPAÇÕES S/A;Debêntures;0;0;38
04.368.898/0001-06;2022-01-01;3;125893;COPEL DISTRIBUIÇÃO S.A.;Debêntures;2796;36;195
04.370.282/0001-70;2022-01-01;5;125901;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Debêntures;4754;0;580
04.423.567/0001-21;2022-01-01;17;127252;ENEVA S.A;Debêntures;20656;292;514
04.437.534/0001-30;2022-01-01;10;123339;LOCAMÉRICA RENT-A-CAR S.A.;Debêntures;0;0;78
04.739.720/0001-24;2022-01-01;1;116120;USINA TERMELÉTRICA PAMPA SUL S.A.;Debêntures;10633;313;0
04.752.991/0001-10;2022-01-01;9;126082;BIOMM S.A.;Bônus de Subscrição;305;39;0
04.821.041/0001-08;2022-01-01;3;122589;METALFRIO SOLUTIONS S.A.;Debêntures;0;0;1
04.895.728/0001-80;2022-01-01;6;127135;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Debêntures;3365;8;313
04.972.092/0001-22;2022-01-01;1;116589;GRUPO FARTURA DE HORTIFRUT S.A.;Debêntures;0;0;3
04.986.320/0001-13;2022-01-01;11;127079;SER EDUCACIONAL S.A.;Debêntures;0;0;0
04.992.714/0001-84;2022-01-01;8;127113;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Debêntures;0;0;121
05.197.443/0001-38;2022-01-01;15;124430;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Debêntures;14;9;429
05.878.397/0001-32;2022-01-01;14;127027;ALLOS S.A.;Debêntures;0;5;282
05.917.486/0001-40;2022-01-01;10;126930;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Debêntures;0;0;3
