CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Data_Deliberacao;Orgao_Deliberacao_Aumento;Data_Emissao;Valor_Total_Emissao;Tipo_Subscricao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Subscricao_Capital_Anterior;Fator_Cotacao;Preco_Emissao;Criterio_Determinacao_Preco_Emissao;Forma_Integralizacao
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;372683;2021-04-20;AGE;2021-04-20;145000.00;Subscrição particular;2399463;4798926;7198389;17.39668161;R$ por Unidade;0.02014340;;
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;372684;2023-03-09;AGE;2023-03-09;60000.00;Subscrição particular;992881;1985762;2978643;24.05804626;R$ por Unidade;0.02014340;;
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;373647;2018-01-11;Assembleia Geral Extraordinária;2018-01-11;1594666570.00;Subscrição particular;29528808;8232412;37761220;0.00000000;R$ por Unidade;37.10000000;A cotação média das ações ON na BM&F-BOVESPA obtida nos últimos 120 pregões, no período de 20 de julho de 2015 a 01 de agosto de 2017, foi de R$ 37,10 (trinta e sete reais e dez centavos).A cotação média das ações PN na BM&F-BOVESPA alcançada nos últimos 20 pregões, no período de 25 de julho a 21 de agosto de 2017, foi de R$ 28,68 (vinte e oito reais e sessenta e oito centavos);
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;373648;2019-10-31;Assembléia Geral Extraordinária;2020-04-24;1512672329.88;Subscrição particular;10184492;8074780;18259272;0.00000000;R$ por Unidade;0.00000000;Deságio de 20% sobre o preço base calculado mediante a ponderação da cotação pelo volume de ações negociado nos últimos 120 pregões, conforme Proposta da Administração para AGE de 31.10.2019.;União: utilização dos recursos de Adiantamento para Futuro Aumento de Capital. Outros acionistas: pagamento a vista.
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;373649;2022-12-27;Assembleia Geral Extraordinária;2022-12-27;367159185.59;Subscrição particular;18518328;0;18518328;11.81587195;R$ por Unidade;19.82680000;Valor Patrimonial da Ação, conforme deliberação da Assembleia.;Recursos transferidos pela União na forma de AFAC em anos anteriores e exercício em espécie do Direito de Preferência dos acionistas minoritários
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358376;2018-04-26;Conselho de Administração;2018-04-26;541463439.00;Subscrição pública;0;29268294;29268294;173.62000000;R$ por Unidade;18.50000000;A integralização foi em dinheiro (moeda corrente nacional), oriundo da Oferta Pública Primária de Ações do Banco Inter S.A.;Pricing da Oferta Pública de Ações de Emissão do Banco Inter S.A.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358377;2018-08-31;Conselho de Administração;2018-08-31;10079921.46;Subscrição particular;425093;418549;843642;1.18000000;R$ por Unidade;11.94810294;Com utilização de crédito dos juros sobre capital próprio distribuídos em 26/06/2018 pelo Banco ou com recursos próprios, à vista.;O preço de emissão por ação foi fixado com base na média ponderada das cotações das ações preferenciais no mercado nos últimos 10 pregões anteriores à data da deliberação, ou seja, 26/06/2018, com aplicação de deságio de 20%.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358378;2018-09-25;Conselho de Administração;2018-09-25;1723534.81;Subscrição particular;0;333432;333432;0.19960000;R$ por Unidade;5.16000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358379;2018-09-25;Conselho de Administração;2018-09-25;127435.57;Subscrição particular;0;23100;23100;0.01480000;R$ por Unidade;5.51000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358380;2018-09-25;Conselho de Administração;2018-09-25;468655.20;Subscrição particular;0;84240;84240;0.05430000;R$ por Unidade;5.56000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
