CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Identificacao_Valor_Mobiliario;Pais_Negociacao;Mercado;Administradora;Data_Emissao;Data_Inicio_Listagem;Percentual;Descricao_Segmento;Descricao_Proporcao_Certificado;Descricao_Banco_Depositario;Descricao_Instituicao_Custodiante
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2019-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2019-03-13;2019-03-13;0.000000;Euro MTF;;;Deutsche Bank
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2021-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2021-09-30;2021-09-30;0.000000;Euro MTF;;;Deutsche Bank
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;American Depositary Receipts;ADR;Estados Unidos;NYSE;Bolsa de Nova York;2008-10-31;2008-10-31;17.640000;;;Citibank NA;Citibank NA
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações;Xelto e Xeltb;Espanha;Mercado de Ações de Empresas Latino-americanas negociadas em euros - Latibex;Bolsa de Valores de Madri;2000-04-18;2000-04-18;0.010000;;;;
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;Não aplicável;Não aplicável;Estados Unidos;Não aplicável;Não aplicável;2018-01-01;2018-01-01;0.000000;Não aplicável;Não aplicável;Não aplicável;Não aplicável
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Global Depositary Receipts (GDR);Global Depositary Receipts (GDR);Estados Unidos;Balcão;SEC;2007-03-31;2007-03-31;0.000000;;;;
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Senior Notes;Bond B2W Digital Lux - ISIN US05609AAA97 (Reg S) e USL0527QAA15 (144A);Luxemburgo;Singapore Exchange Securities Trading Limited (SGX-ST);Singapore Exchange Securities Trading Limited (SGX-ST);2020-11-24;2020-11-24;100.000000;;;;
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Senior Notes;Bond JSM - ISIN USL5788AAA99 (Reg S) e US46592BAA08 (144A);Luxemburgo;Singapore Exchange Securities Trading Limited;Singapore Exchange Securities Trading Limited;2020-10-06;2020-10-06;100.000000;;;;
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Ações;Ações;Estados Unidos;Secundário;Over-The-Counter OTCQX;2010-03-01;2010-03-01;0.710000;Balcão;1:1 uma ADR para cada ação ordinária;JP Morgan Chase Bank;Banco Bradesco S.A.
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;American Depositary Receipts;GFSAY;Estados Unidos;Mercado Balcão Over-The-Counter;Mercado Balcão Over-The-Counter;2018-12-15;2018-12-15;12.430000;;3.037.870 ADR, 1 ADR = 2 GFSA3;Citibank, N.A.;Banco Itaú S.A.
01.838.723/0001-27;2022-01-01;16;125591;BRF S.A.;ADR;BRF5;Estados Unidos;Bolsa de Valores de Nova York (NYSE);Bolsa de Valores de Nova York (NYSE);1996-10-01;2000-10-20;32.250000;ADRs listados na Bolsa de Valores de Nova York (NYSE);Cada 1 ADR representa 1 ação ordinária;The Bank of New York Mellon;Itaú Unibanco
01.917.818/0001-36;2022-01-01;18;127410;LIGHT ENERGIA S.A.;Bonds;4,375% Notes Units a vencer em 2026;Estados Unidos;Singapore Stock Exchange;Singapore Exchange Securities Trading Limited.;2021-06-18;2021-06-18;0.043750;;;DTC - The Depositary Trust Company;Bank of New York Mellon
01.957.772/0001-89;2022-01-01;2;130615;SUL 116 PARTICIPACOES S.A.;n.a;n.a;Brasil;n.a;n.a;2018-12-31;2018-12-31;0.000000;;;;
02.201.787/0001-85;2022-01-01;1;115828;CEL PARTICIPAÇÕES S.A. - CELPAR;N/A;N/A;Brasil;N/A;N/A;1997-09-10;1997-09-10;0.000000;;;;
02.421.421/0001-11;2022-01-01;9;125541;TIM S.A.;Ações;Ações;Estados Unidos;Bolsa de Valores de Nova York (NYSE);Bolsa de Valores de Nova York (NYSE);2021-10-13;2021-10-13;0.000000;Os American Depositary Receipts ("ADR") da Companhia são totalmente lastreados por ações ordinárias.;Cada ADR corresponde a 5 ações ordinárias de nossa emissão.;J.P. Morgan Chase & Co;Banco Bradesco S.A.
02.474.103/0001-19;2022-01-01;7;126050;ENGIE BRASIL ENERGIA S.A.;American Depositary Receipts (ADR) Nível I;EGIEY;Estados Unidos;Mercado de balcão norte-americano de títulos - Over the Conter (OTC).;Pink OTC Markets;1998-06-01;1998-06-01;1.120000;American Depositary Receipts (ADR).;Um ADR para cada ação ordinária.;The Bank of New York Mellon.;Itaú Corretora de Valores S.A.
02.558.157/0001-62;2022-01-01;11;125390;TELEFÔNICA BRASIL S.A;American Depositary Receipt;VIV;Estados Unidos;Bolsa de Valores;Bolsa de valores de Nova Iorque (NYSE);1998-11-16;1998-11-16;0.000000;;Cada ADR representa uma ação ordinária.;Citibank N.A.;Citibank N.A.
02.736.470/0001-43;2022-01-01;1;116669;CONFIANZA SECURITIZADORA SA;Pátria;1;Brasil;1;1;2019-01-01;2019-01-01;0.010000;;;;
02.762.121/0001-04;2022-01-01;8;125996;SANTOS BRASIL PARTICIPACOES S.A.;Certificados de Depósito de Valores Imobiliários;Global Depositary Receipt (GDR);Estados Unidos;Mercado de balcão de valores mobiliários dos EUA (Rule 144A  e Reg S).;Bolsa de Nova York (mercado local);2007-12-01;2007-12-01;0.000000;Mercado de balcão (considerada a diferença entre o mercado dos EUA e o brasileiro).;Cada GDR corresponde a cinco ações ordinárias de emissão da Companhia.;The Bank of New York Mellon Corporation;The Bank of New York Mellon Corporation
02.783.423/0001-50;2022-01-01;1;116763;ALTERE SECURITIZADORA S.A.;Não há valores mobiliários em negociação em mercados estrangeiros;Não há valores mobiliários em negociação em mercados estrangeiros;Brasil;Não há valores mobiliários em negociação em mercados estrangeiros;Não há valores mobiliários em negociação em mercados estrangeiros;2019-12-31;2019-12-31;0.000000;;;;
02.800.026/0001-40;2022-01-01;11;127177;COGNA EDUCAÇÃO S.A.;Ações Ordinárias;COGNY;Estados Unidos;Mercado de Balcão Americano;SEC (Securities and Exchange Commission);2013-10-07;2013-10-24;0.330000;ADR Nível 1;1 ação ordinária para cada 1 certificado de depósito no exterior;The Bank of New York Mellon;Banco Bradesco S.A.
02.916.265/0001-60;2022-01-01;13;127102;JBS S.A.;ADR;JBSAY;Estados Unidos;Mercado de Balcão;OTCQX;2008-12-01;2008-12-01;0.742951;Mercado de balcão, sob o código "JBSAY".;Uma ADR representa 2 ações ordinárias de emissão da Companhia;The Bank of New York Mellon;
02.932.074/0001-91;2022-01-01;6;126247;HYPERA S.A.;American Depositary Receipts ("ADRs") Nível 1;HYPMY;Estados Unidos;Mercado de balcão não organizado;Não aplicável;2010-05-26;2010-05-26;0.000000;Nivel 1;1 (um) ADR corresponde a 1 (uma) ação ordinária de emissão da Companhia.;Citibank N.A.;Itaú Unibanco S.A.
02.998.301/0001-81;2022-01-01;7;127247;RIO PARANAPANEMA ENERGIA S.A.;American Depositary Receipts - ADR's;DEIPY;Estados Unidos;Mercado de Balcão - OTC.;Pink OTC Markets.;1999-09-24;1999-09-24;0.090000;Nível I Mercado de balcão americano - OTC.;1 ADR = 1 Ação ON ou PN.;;Banco Itaú S/A.
02.998.611/0001-04;2022-01-01;8;126090;ISA ENERGIA BRASIL;CTPTY;CTPTY;Estados Unidos;Mercado de Balcão Americano;Financial Industry Regulatory Authority;1999-09-24;2011-09-24;0.000000;ADR Nível 1;;JP Morgan Chase Bank;Santander Securities Services Brasil DTVM S.A.
02.998.611/0001-04;2022-01-01;8;126090;ISA ENERGIA BRASIL;CTPTY;CTPZY;Estados Unidos;Balcão Americano - OTC;Financial Industry Regulatory Authority;1999-09-21;1999-09-24;0.010000;ADR Nível 1;;JP Morgan Chase Bank;Santander Securities Services Brasil DTVM S.A.
03.220.438/0001-73;2022-01-01;7;127055;EQUATORIAL S.A.;ADR;EQUEY;Estados Unidos;Mercado de Balcão norte americano (OTC - Over the Counter);Pink OTC Market Inc.;2008-12-19;2008-12-19;0.200000;Nível 1.;0,06%;Citibank, N.A.;Citibank, N.A.
03.378.521/0001-75;2022-01-01;22;127408;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;American Depositary Shares (ADSs);American Depositary Receipts (ADRs);Estados Unidos;OTC - Over the Counter;Financial Industry Regulatory Authority - FINRA;2008-11-17;2008-11-17;0.000000;;Cada certificado de depósito corresponde a uma ação ordinária de emissão da Companhia.;JP Morgan Chase Bank NA;Banco Bradesco
03.847.461/0001-92;2022-01-01;6;125994;BRADESPAR S.A.;Ações;BRAP4 PN;Espanha;latibex;Bolsas e Mercados da Espanha S.A. (BME).;2001-07-10;2001-07-10;0.001090;;;;A Instituição custodiante depende de cada acionista
03.847.461/0001-92;2022-01-01;6;125994;BRADESPAR S.A.;Ações;BRAP3 ON;Espanha;Latibex;Bolsas e Mercados da Espanha S.A. (BME).;2001-07-10;2001-07-10;0.041558;;;;A Instituição custodiante depende de cada acionista
03.853.896/0001-40;2022-01-01;10;125073;MARFRIG GLOBAL FOODS S.A.;American Depositary Receipts - ADR;American Depositary Receipts Level 1, sb o código "MRRTY";Estados Unidos;Mercado de balcão norte-americano (OTC);U.S. Securities and Exchange Commission - SEC;2010-09-02;2010-09-02;0.330000;Nível I de depositary receipts - ADR;Um ADR representa uma ação ordinária de emissão da Companhia.;Deutsche Bank Trust Company Americas;taú Unibanco S.A.
03.983.431/0001-03;2022-01-01;8;125441;EDP - ENERGIAS DO BRASIL S.A.;Ações;Ações Ordinárias;Espanha;LATIBEX - Mercado de Valores Latinoamericanos, sob o código XENBR;Bolsa de Valores de Madri;2021-10-27;2021-10-27;0.001435;;;;
06.047.087/0001-39;2022-01-01;8;125825;REDE D'OR SÃO LUIZ S.A.;Senior Notes;Bond RDSL - ISIN Code USL7915RAA43 (Reg S) e ISIN Code US75735KAA79 (Rule 144A);Luxemburgo;Euro MTF Market;Luxembourg Stock Exchange;2018-01-17;2018-01-17;100.000000;;;;
06.047.087/0001-39;2022-01-01;8;125825;REDE D'OR SÃO LUIZ S.A.;Senior Notes;Bond RDSL - ISIN Code USL7915TAA09 (Reg S) e ISIN Code US75735GAA67 (Rule 144A);Luxemburgo;Euro MTF Market;Luxembourg Stock Exchange;2020-01-22;2020-01-22;100.000000;;;;
06.057.223/0001-71;2022-01-01;11;123560;SENDAS DISTRIBUIDORA S.A.;American Depositary Shares (ADSs);ASAI;Estados Unidos;New York Stock Exchange;Securities and Exchange Commission (SEC);2021-02-12;2021-03-08;0.000000;Bolsa de Valores;Cada ADS representa 1 ação ordinária;JP Morgan Chase Bank, N.A.;Itaú Corretora de Valores S.A.
06.164.253/0001-87;2022-01-01;17;127271;GOL LINHAS AEREAS INTELIGENTES S.A.;American Depositary Shares;GOL US;Estados Unidos;NYSE;Bank of New York;2004-06-24;2004-06-24;21.870000;ADR Nível 3;Uma American Depositary Share (ADS) equivale a duas (2) ações preferenciais da Companhia por ADS.;THE BANK OF NEW YORK ADR DEPARTMENT;Banco Itaú S.A.
06.977.745/0001-91;2022-01-01;6;123150;BR MALLS PARTICIPACOES S.A.;GDR;BRMLL;Estados Unidos;Balcão;Financial Industry Regulatory Authority - FINRA;2007-11-01;2007-11-30;0.000000;;;JP Morgan;Itaú Unibanco S.A.
06.977.745/0001-91;2022-01-01;6;123150;BR MALLS PARTICIPACOES S.A.;ADR;BRMSY;Estados Unidos;Mercado OTC - Over the counter;Financial Industry Regulatory Authority - FINRA;2008-11-01;2008-11-30;0.000000;;;JP Morgan;Itaú Unibanco S.A.
07.253.321/0001-47;2022-01-01;1;116818;CARBOMIL SA MINER. E INDUSTRIA;DEBENTURES;DEBENTURES SIMPLES;Brasil;24.000.000,00;OLIVEIRA TRUST;1992-11-01;1992-11-01;0.010000;;;;
07.275.159/0001-68;2022-01-01;1;114741;PETROLEO LUB DO NORDESTE SA;AÇOES;AÇOES;Brasil;NAO SE APLICA;NAO SE APLICA;2019-01-01;2019-01-01;0.000000;;;;
07.526.557/0001-00;2022-01-01;9;128293;AMBEV S.A.;ADRs;Programa de American Depositary Receipts Nível 2;Estados Unidos;Secundário;Bolsa de Valores de Nova York (New York Stock Exchange - NYSE);2013-11-11;2013-11-11;50.500000;Programa de American Depositary Receipts - ADR Nível 2.;1 ADR representa 1 ação ordinária de emissão da Companhia.;The Bank of New York Mellon;Banco Bradesco S.A.
07.628.528/0001-59;2022-06-30;5;121281;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;American Depositary Receipt;LND;Estados Unidos;Bolsa de Valores;New York Stock Echange;2012-11-08;2012-11-08;1.000000;;Cada American Depositary Receipt equivale a 1 ação ordinária de emissão da Companhia.;Bank of New York Mellon;Banco Itaú Unibanco S.A.
07.689.002/0001-89;2022-01-01;10;126246;EMBRAER S.A.;ações (ADR);ERJ;Estados Unidos;New York Stock Exchange (NYSE);Securities and Exchange Commission (SEC);2000-07-21;2000-07-21;49.500000;ADR nível III.;A proporção é de 1 ADS para 4 ações ordinárias.;O banco depositário das ADRs da companhia no exterior é o JP Morgan Chase Bank.;A instituição custodiante é a New York Stock Exchange (NYSE).
07.857.093/0001-14;2022-01-01;9;126085;AURA MINERALS INC.;Ações;ORA;Canadá;Bolsa de Valores de Toronto (Toronto Stock Exchange);Bolsa de Valores de Toronto (Toronto Stock Exchange);2006-07-25;2006-07-25;100.000000;;;;
07.857.850/0001-50;2022-01-01;5;126035;GP INVESTMENTS, LTD.;0;Ações Classe A;Luxemburgo;Bolsa de Luxemburgo (Luxembourg Stock Exchange);Euro MTF;2006-06-02;2006-06-02;100.000000;;;Banco Itaú S.A.;The Bank of New York Depository (Nominees) Limited
08.065.557/0001-12;2022-01-01;4;123707;TECNISA S.A.;Global Depositary Receipts;TNSAY: OTC;Estados Unidos;Mercado de balcão;Securities Exchange Commission (SEC);2007-01-31;2007-01-31;0.000000;Regra 144A e do Regulamento S;Cada ADR negociada no exterior representa 2 (duas) ações ordinárias da Companhia.;The Bank of New York Mellon;Itaú Unibanco S.A.
08.159.965/0001-33;2022-01-01;7;123754;IGUA SANEAMENTO S.A.;Não possuímos valores mobiliários negociados em mercados estrangeiros;Não possuímos valores mobiliários negociados em mercados estrangeiros;Brasil;Não possuímos valores mobiliários negociados em mercados estrangeiros;Não possuímos valores mobiliários negociados em mercados estrangeiros;2020-01-01;2020-12-31;0.000000;;;;
08.801.621/0001-86;2022-01-01;8;127229;SYN PROP & TECH S.A.;American Depositary Receipts;Programa de ADRs Nível I;Estados Unidos;Mercado de Balcão, na New York Stock Exchange (NYSE);New York Stock Exchange (NYSE);2007-08-13;2007-08-13;0.020000;ADRs listados no mercado de balcão da New York Stock Exchange (NYSE);Proporção: Cada 1 ADR representa 4 ações ordinárias.;The Bank Of New York Mellon;Itaú Unibanco S.A.
08.807.432/0001-10;2022-01-01;16;126927;YDUQS PARTICIPACOES S.A.;YDUQY;YDUQY;Estados Unidos;OTCQX International Premier ("OTCQX");SEC (Securities and Exchange Commission);2014-11-17;2014-11-17;1.150000;OTCQX;1 ação ordinária para cada 1 certificado de depósito no exterior;BNY Mellon;The Bank of New York Mellon
09.305.994/0001-29;2022-01-01;17;127023;AZUL S.A.;Certificados de Depósito de Valores Mobiliários;American Depositary Receipts;Estados Unidos;Bolsa de Valores;New York Stock Exchange (NYSE);2017-03-31;2017-04-11;37.350000;ADR Nível III;A proporção é de 1 ADS para 3 ações preferenciais.;Citibank N.A.;Itaú Corretora de Valores S.A.
10.440.482/0001-54;2022-01-01;7;122561;GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;As Units são negociadas no exterior na Nasdaq sob a forma de ADS;American Depositary Shares (ADS);Estados Unidos;Os ADSs poderão ser negociados no mercado Norte Americano;A entidade administradora é a SEC, órgão norte-americano;2021-10-18;2021-10-18;0.000000;Nasdaq Stock Market (NASDAQ).;Cada ADS negociada no exterior é composta de 2 Units da Companhia.;O banco depositário das ADS é o The Bank of New York Mellon.;A instituição custodiante é a Santander Caceis Distribuidora de Títulos e Valores Mobiliários S.A.
10.452.416/0001-02;2022-01-01;2;122397;REAG CAPITAL HOLDING S.A.;0;0;Brasil;0;0;2021-12-31;2021-12-31;0.000000;N/A;N/A;N/A;N/A
10.608.405/0001-60;2022-01-01;18;125444;BARI SECURITIZADORA S.A.;0;0;Brasil;0;0;2018-01-01;2018-01-01;0.000000;;;;
10.753.164/0001-43;2022-01-01;2;116942;ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.;Não há valores mobiliários em negociação em mercados estrangeiros;Não há valores mobiliários em negociação em mercados estrangeiros;Brasil;Não há valores mobiliários em negociação em mercados estrangeiros;Não há valores mobiliários em negociação em mercados estrangeiros;2018-12-31;2018-12-31;0.000000;;;;
11.716.471/0001-17;2022-01-01;1;116338;TRX SECURITIZADORA S.A.;N/A;N/A;Brasil;N/A;N/A;2020-12-31;2020-12-31;0.000000;;;N/A;
12.261.588/0001-16;2022-01-01;1;115871;POLO CAPITAL SECURITIZADORA S.A;não há negociação em mercados estrangeiros;não há negociação em mercados estrangeiros;Brasil;não há negociação em mercados estrangeiros;não há negociação em mercados estrangeiros;2019-12-31;2019-12-31;100.000000;não há negociação em mercados estrangeiros;não há negociação em mercados estrangeiros;não há negociação em mercados estrangeiros;não há negociação em mercados estrangeiros
16.404.287/0001-55;2022-01-01;7;125949;SUZANO S.A.;Ação Ordinária;Level 2 ADR - SUZ, CUSIP 86959K105 e ISIN BRSUZBACNOR0 (DR ISIN: US86959K1051);Estados Unidos;Bolsa de Valores de Nova York;Bolsa de Valores de Nova York;2018-12-10;2018-12-10;3.090000;ADR nível 2;Cada 1 ADR corresponde a 1 ação ordinária (SUZB3);The Bank of New York Mellon;Itaú Unibanco S.A.
16.670.085/0001-55;2022-01-01;9;126982;LOCALIZA RENT A CAR S.A.;ADR (American Depositary Receipt);CUSIP 53956W300, ISIN US53956W3007 e símbolo LZRFY;Estados Unidos;Mercado de balcão;OTC (Over-The-Counter);2012-06-05;2012-06-05;0.350000;O segmento QX é o nível mais alto do mercado OTC dos EUA.;1:1 (uma ADR para cada ação ordinária).;The Bank of New York Mellon.;Banco Bradesco S.A..
17.155.730/0001-64;2022-01-01;11;125990;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Ações;Ações Ordinárias;Estados Unidos;NYSE (New York Stock Exchange);SEC (U.S. Securities Exchange Commission);2007-06-01;2007-06-01;0.300000;ADR Nível II;;Citibank;
17.155.730/0001-64;2022-01-01;11;125990;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Ações;Ações Preferenciais;Estados Unidos;NYSE (New York Stock Exchange);SEC (U.S. Securities Exchange Commission);2001-09-01;2001-09-01;26.330000;ADR Nível II;;Citibank;
17.155.730/0001-64;2022-01-01;11;125990;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Ações;Ações Preferenciais;Espanha;Latibex;CMNV (Comisión Nacional del Mercado de Valores);2002-07-01;2002-07-01;0.140000;;;Banco Espírito Santo (Banco Intermediário);
17.344.597/0001-94;2022-01-01;10;126989;BB SEGURIDADE PARTICIPAÇÕES S.A.;American Depositary Receipts - Nível I;BBSEY;Estados Unidos;Secundário;Over-the-Counter (OTCMarket);2014-03-28;2014-03-28;0.710000;Balcão. OTCPink.;1:1 (uma ADR para cada ação ordinária).;Em 31/12/2021, o Citibank, N.A. era o Banco Depositário.;Banco do Brasil S.A.
18.572.225/0001-88;2022-01-01;1;116454;CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL;0,01;Não aplicavel;Brasil;0,001;Não aplicavel;2000-12-31;2000-12-31;0.010000;;;;
21.314.559/0001-66;2022-01-01;22;125974;MOVIDA PARTICIPACOES SA;ADR;MOVYY;Estados Unidos;Mercado de balcão;Nova Iorque - OTC;2019-02-07;2019-02-07;0.000000;ADRs listados em mercado de balcão (OTC) de Nova Iorque;Cada 1 ADR representa 1 ação ordinária;Deutsche Bank Trust Company Americas;Banco Bradesco S.A.
23.041.875/0001-37;2022-01-01;4;126032;ALMACENES ÉXITO S.A.;Ações ordinárias;"BVC:EXITO";Colômbia;Bolsa de Valores da Colômbia;Bolsa de Valores da Colômbia;1994-07-08;1994-07-08;96.520000;;;;
23.041.875/0001-37;2022-01-01;4;126032;ALMACENES ÉXITO S.A.;Ações Depositárias Americanas Regra 144A;"ALAXL";Estados Unidos;Mercado de balcão;Mercado de balcão;2007-07-27;2007-07-27;0.090000;Bolsa de Valores da Colômbia;Cada ADR representa 1 ação ordinária;JP Morgan (Banco Depositário);BNP Paribas (Custodiante Local)
24.410.913/0001-44;2022-01-01;14;125004;NU HOLDINGS LTD.;Ações;NU;Estados Unidos;New York Stock Exchange - NYSE;New York Stock Exchange - NYSE;2021-11-23;2021-11-23;0.000000;;;Banco Bradesco S.A.;Bank of New York Mellon
26.609.050/0001-64;2022-01-01;1;116620;TRAVESSIA SECURITIZADORA S.A.;Nao se aplica;010101;Brasil;Nao se aplica;Nao se aplica;2018-12-31;2018-12-31;100.000000;;;;
26.845.702/0001-60;2022-01-01;1;116328;BELÉM TRANSMISSORA DE ENERGIA S.A;ADR;EQUEY;Estados Unidos;Mercado de Balcão norte americano (OTC - Over the Counter);Pink OTC Market Inc;2008-12-19;2008-12-19;0.200000;;0,06%;Citibank, N.A.;Citibank, N.A.
27.956.690/0001-03;2022-01-01;2;128574;AUZZA SECURITIZADORA S. A.;0;-;Brasil;-;-;2021-12-31;2021-12-31;0.000000;Não há valores mobiliários negociados no exterior.;;;
30.306.294/0001-45;2022-01-01;5;127393;BCO BTG PACTUAL S.A.;Nota Comercial;Notas ordinárias (bonos ordinarios) de até COP$330.000.000.000;Colômbia;Segundo Mercado;Bolsa de Valores de Colombia S.A. - BVC;2019-05-23;2019-05-23;100.000000;;;DECEVAL;DECEVAL
30.306.294/0001-45;2022-01-01;5;127393;BCO BTG PACTUAL S.A.;Nota Comercial;Notas subordinadas de USD600 milhões à taxa fixa de 7,750%;Luxemburgo;Euro MTF Market;Euro MTF Market (Luxembourg Stock Exchange);2019-02-12;2019-02-12;100.000000;;;Deutsche Bank;Deutsche Bank
30.306.294/0001-45;2022-01-01;5;127393;BCO BTG PACTUAL S.A.;Nota Comercial;Notas subordinadas de USD 800 milhões à taxa fixa de 5,75%;Luxemburgo;Euro MTF Market;Euro MTF Market (Luxembourg Stock Exchange);2012-09-28;2012-09-28;98.140000;;;Deutsche Bank;Deutsche Bank
30.306.294/0001-45;2022-01-01;5;127393;BCO BTG PACTUAL S.A.;Nota Comercial;Notas subordinadas de USD500 milhões à taxa fixa de 5,5%;Luxemburgo;Euro MTF Market;Euro MTF Market (Luxembourg Stock Exchange);2017-12-14;2017-12-14;99.430000;;;Deutsche Bank;Deutsche Bank
30.306.294/0001-45;2022-01-01;5;127393;BCO BTG PACTUAL S.A.;Nota Comercial;Notas seniores de USD500 milhões à taxa fixa de 4,5%;Luxemburgo;Euro MTF Market;Euro MTF Market (Luxembourg Stock Exchange);2019-12-10;2019-12-10;99.430000;;;Deutsche Bank;Deutsche Bank
32.785.497/0001-97;2022-01-01;18;125705;NATURA &CO HOLDING S.A.;ADR;NTCO;Estados Unidos;Bolsa de Valores de Nova York;Bolsa de Valores de Nova York;2020-01-06;2020-01-06;0.000000;ADS Nível II;1 ADS corresponde a 2 ações ordinárias;The Bank of New York Mellon;Itaú Unibanco S.A.
33.000.167/0001-01;2022-01-01;26;126948;PETROLEO BRASILEIRO S.A. PETROBRAS;American Depositary Shares (ADSs);PBR;Estados Unidos;New York Stock Exchange (NYSE);Securities and Exchange Commission (SEC);2000-08-10;2000-08-10;27.960000;Bolsa de Valores;Cada PBR representa duas ações ordinárias;Bank of New York Mellon - BNY MELLON (Jan/2012 a Dez/2019). JP Morgan Chase a partir de 01/01/2020.;Banco do Brasil e Central Depositária da B3 até 29/08/18 Banco Bradesco a partir de 30/08/18.
33.000.167/0001-01;2022-01-01;26;126948;PETROLEO BRASILEIRO S.A. PETROBRAS;Certificados de Depósitos de Ações;XPBR;Espanha;Latibex;Comisión Nacional del Mercado de Valores (CNMV);2002-07-09;2002-07-09;0.050000;Bolsa de Valores;Cada XPBR representa uma ação ordinária;;
