CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46913;Preferencial;;0;R$ por Unidade;48485003;0.01;1.039038;0.000000
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46914;Ordinária;;664296;R$ por Unidade;7500000;0.01;0.598155;8.857284
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46914;Preferencial;;2488957;R$ por Unidade;7500000;0.01;0.174941;33.186098
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46915;Ordinária;;1107161;R$ por Unidade;7500000;0.01;0.658693;14.762140
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46915;Preferencial;;4148262;R$ por Unidade;7500000;0.01;0.192743;55.310161
60.770.336/0001-65;2022-01-01;7;125452;BCO ALFA DE INVESTIMENTO S.A.;46376;Ordinária;;68300;R$ por Unidade;330000;6.03;0.617029;15.883721
60.770.336/0001-65;2022-01-01;7;125452;BCO ALFA DE INVESTIMENTO S.A.;46376;Preferencial;;0;R$ por Unidade;100000;0.00;0.284751;0.000000
60.770.336/0001-65;2022-01-01;7;125452;BCO ALFA DE INVESTIMENTO S.A.;46377;Ordinária;;330000;R$ por Unidade;330000;5.77;0.613245;100.000000
60.840.055/0001-31;2022-01-01;12;126644;FLEURY S.A.;46740;Ordinária;;1075000;R$ por Unidade;3035263;25.59;1.000000;35.420000
60.872.504/0001-23;2022-01-01;15;127205;ITAU UNIBANCO HOLDING S.A.;46904;Preferencial;;0;R$ por Unidade;75000000;0.00;1.560000;0.000000
61.092.037/0001-81;2022-01-01;8;124953;ETERNIT S.A.;46113;Ordinária;;0;R$ por Unidade;2000000;0.00;1.318750;0.000000
61.156.113/0001-75;2022-01-01;9;125752;IOCHPE MAXION S.A.;46530;Ordinária;;132000;R$ por Unidade;132000;22.63;0.000960;100.000000
61.186.680/0001-74;2022-01-01;17;125746;BANCO BMG S/A;46527;Preferencial;;1724000;R$ por Unidade;9905227;3.37;10.000000;17.404952
61.186.680/0001-74;2022-01-01;17;125746;BANCO BMG S/A;46528;Preferencial;;8677000;R$ por Unidade;10700112;4.53;10.000000;81.092609
61.186.680/0001-74;2022-01-01;17;125746;BANCO BMG S/A;46529;Preferencial;;11981100;R$ por Unidade;11994003;7.79;10.000000;99.892421
61.189.288/0001-89;2022-01-01;16;126134;MARISA LOJAS S.A.;46673;Ordinária;;500000;R$ por Unidade;500000;6.64;0.953700;100.000000
61.532.644/0001-15;2022-01-01;7;127166;ITAÚSA S.A.;46890;Preferencial;;0;R$ por Unidade;10000000;0.00;0.191000;0.000000
61.532.644/0001-15;2022-01-01;7;127166;ITAÚSA S.A.;46891;Ordinária;;3492300;R$ por Unidade;50000000;10.22;4.500747;6.984600
61.532.644/0001-15;2022-01-01;7;127166;ITAÚSA S.A.;46891;Preferencial;;8400000;R$ por Unidade;200000000;11.59;4.222919;4.200000
61.532.644/0001-15;2022-01-01;7;127166;ITAÚSA S.A.;46892;Ordinária;;0;R$ por Unidade;27000000;0.00;2.602630;0.000000
61.532.644/0001-15;2022-01-01;7;127166;ITAÚSA S.A.;46892;Preferencial;;3500000;R$ por Unidade;50000000;9.21;1.294870;7.000000
61.585.865/0001-51;2022-01-01;8;126603;RAIA DROGASIL S.A.;46737;Ordinária;;3000000;R$ por Unidade;3000000;24.41;0.002766;100.000000
