CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Leoze Lobo Maia Junior;Diretor de Relações com Investidores
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;Luiz Otavio Assis Henriques;Diretor Presidente/Relações com Investidores
00.743.065/0001-27;2022-01-01;1;115698;LITEL PARTICIPACOES S.A.;Carlos Eduardo Reich de Sampaio;Diretor Presidente/Relações com Investidores
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Leonardo Coelho Pereira;Diretor Presidente
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Camille Loyo Faria;Diretor de Relações com Investidores
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;Maurício Perez Botelho;Diretor de Relações com Investidores
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;Ricardo Perez Botelho;Diretor Presidente
00.897.864/0001-58;2022-01-01;1;113493;SANTA CATARINA PART INVEST SA;Luciano da Silva Spindola;Diretor Presidente/Relações com Investidores
00.924.429/0001-75;2022-01-01;7;123538;FERROVIA CENTRO-ATLANTICA S.A.;Leandro Fulgencio Vieira;Diretor de Relações com Investidores
00.924.429/0001-75;2022-01-01;7;123538;FERROVIA CENTRO-ATLANTICA S.A.;Alessandro Pena da Gama;Diretor Presidente
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;Carlos Eduardo Soares de Menezes;Diretor de Relações com Investidores
00.974.211/0001-25;2022-01-01;1;116172;LINHA AMARELA S.A. - LAMSA;Gustavo Soares Figueiredo;Diretor de Relações com Investidores
00.979.969/0001-56;2022-01-01;1;114163;CAIXA ADM DIV PUB ESTADUAL SA;Luis Antonio Medina Gomez;Diretor de Relações com Investidores
00.979.969/0001-56;2022-01-01;1;114163;CAIXA ADM DIV PUB ESTADUAL SA;Carlos Eduardo Provenzano;Diretor Presidente
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Filipe Augusto dos Santos Oliveira;Diretor de Relações com Investidores
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Estanislau Mendes Llobatera Bassols;Diretor Presidente
01.083.200/0001-18;2022-01-01;9;126025;NEOENERGIA S.A.;Eduardo Capelastegui Saiz;Diretor Presidente
01.083.200/0001-18;2022-01-01;9;126025;NEOENERGIA S.A.;Leonardo Pimenta Gadelha;Diretor de Relações com Investidores
01.104.937/0001-70;2022-01-01;2;125970;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Raul Balbi Sollero;Diretor Presidente
01.104.937/0001-70;2022-01-01;2;125970;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Ivo Sergio Baran;Diretor de Relações com Investidores
01.107.327/0001-20;2022-01-01;4;125657;BBM LOGÍSTICA S.A.;André Alarcon de Almeida Prado;Diretor Presidente
01.107.327/0001-20;2022-01-01;4;125657;BBM LOGÍSTICA S.A.;André Luis da Costa Gaia;Diretor de Relações com Investidores
01.258.944/0001-26;2022-01-01;5;126330;RUMO MALHA SUL S.A.;Ricardo Lewin;Diretor de Relações com Investidores
01.258.944/0001-26;2022-01-01;5;126330;RUMO MALHA SUL S.A.;João Alberto Fernandez de Abreu;Diretor Presidente
01.319.044/0001-41;2022-01-01;1;116442;WTC AMAZONAS SUITE HOTEL S.A.;BRUNO DE MELLO BOMENY;Diretor de Relações com Investidores
01.417.222/0001-77;2022-01-01;6;125816;MRS LOGISTICA S.A.;Guilherme Segalla de Mello;Diretor Presidente/Relações com Investidores
01.543.032/0001-04;2022-01-01;9;123966;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Lener Silva Jayme;Diretor Presidente
01.543.032/0001-04;2022-01-01;9;123966;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Leonardo Da Silva Lucas Tavares De Lima;Diretor de Relações com Investidores
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;Edmar Prado Lopes Neto;Diretor de Relações com Investidores
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;Sheyla Castro Resente;Diretor Presidente
01.548.981/0001-79;2022-01-01;5;125596;INVESTIMENTOS BEMGE S.A.;Alexsandro Broedel;Diretor Presidente
01.548.981/0001-79;2022-01-01;5;125596;INVESTIMENTOS BEMGE S.A.;Renato Lulia Jacob;Diretor de Relações com Investidores
01.599.101/0001-93;2022-01-01;33;126901;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Armando Marchesan Neto;Diretor Presidente
01.599.101/0001-93;2022-01-01;33;126901;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Fernando Stucchi Alegro;Diretor de Relações com Investidores
01.616.929/0001-02;2022-01-01;7;125984;SANEAMENTO DE GOIAS SA;Paulo Rogério Bragatto Battiston;Diretor de Relações com Investidores
01.616.929/0001-02;2022-01-01;7;125984;SANEAMENTO DE GOIAS SA;Ricardo José Soavinski;Diretor Presidente
01.838.723/0001-27;2022-01-01;16;125591;BRF S.A.;Lorival Nogueira Luz Jr.;Diretor Presidente
01.838.723/0001-27;2022-01-01;16;125591;BRF S.A.;Fabio Luis Mendes Mariano;Diretor de Relações com Investidores
01.851.771/0001-55;2022-01-01;2;125645;524 PARTICIPACOES S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
01.851.771/0001-55;2022-01-01;2;125645;524 PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
01.896.779/0001-38;2022-01-01;4;120648;CSU DIGITAL S.A.;Pedro Alvarenga d'Almeida;Diretor de Relações com Investidores
01.896.779/0001-38;2022-01-01;4;120648;CSU DIGITAL S.A.;Marcos Ribeiro Leite;Diretor Presidente
01.917.818/0001-36;2022-01-01;18;127410;LIGHT ENERGIA S.A.;Eduardo Guardiano Leme Gotilla;Diretor de Relações com Investidores
01.917.818/0001-36;2022-01-01;18;127410;LIGHT ENERGIA S.A.;Octavio Cortes Pereira Lopes;Diretor Presidente
01.938.783/0001-11;2022-01-01;6;126113;CIA PARTICIPACOES ALIANCA DA BAHIA;CLARISSA BARRETO MODAFFERI;Diretor de Relações com Investidores
01.938.783/0001-11;2022-01-01;6;126113;CIA PARTICIPACOES ALIANCA DA BAHIA;JOSÉ RENATO DE ALMEIDA GONÇALVES TOURINHO;Diretor Presidente
01.957.772/0001-89;2022-01-01;2;130615;SUL 116 PARTICIPACOES S.A.;Alberto Ribeiro Guth;Diretor de Relações com Investidores
01.968.293/0001-68;2022-01-01;3;121060;ELETRORIVER S.A.;Antônio Walter dos Santos Pinheiro Filho;Diretor Presidente
01.968.293/0001-68;2022-01-01;3;121060;ELETRORIVER S.A.;Walter Nunes Seijo Neto;Diretor de Relações com Investidores
01.989.044/0001-59;2022-01-01;1;116453;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;BRUNO DE MELLO BOMENY;Diretor Presidente/Relações com Investidores
02.016.440/0001-62;2022-01-01;5;125875;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Marco Antonio Villela de Abreu;Diretor Presidente
02.016.440/0001-62;2022-01-01;5;125875;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Yuehui Pan;Diretor de Relações com Investidores
02.041.460/0001-93;2022-01-01;6;123617;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;Amos Genish;Diretor Presidente
02.041.460/0001-93;2022-01-01;6;123617;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;José Miguel Vilela Júnior;Diretor de Relações com Investidores
02.062.747/0001-08;2022-01-01;2;125655;SUDESTE S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
02.062.747/0001-08;2022-01-01;2;125655;SUDESTE S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
02.105.040/0001-23;2022-01-01;1;114700;VIRGO II COMPANHIA DE SECURITIZACAO;Daniel Monteiro Coelho de Magalhães;Diretor Presidente/Relações com Investidores
02.149.205/0001-69;2022-01-01;9;126960;PORTO SEGURO S.A.;Roberto de Souza Santos;Diretor Presidente/Relações com Investidores
02.162.616/0001-94;2022-01-01;2;118339;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Armando José Pereira de Barros;Diretor de Relações com Investidores
02.193.750/0001-52;2022-01-01;5;127063;DEXXOS PARTICIPAÇÕES S.A.;Rafael Alcides Raphael;Diretor Presidente
02.193.750/0001-52;2022-01-01;5;127063;DEXXOS PARTICIPAÇÕES S.A.;George Abi-Rihan Cordeiro;Diretor de Relações com Investidores
02.201.787/0001-85;2022-01-01;1;115828;CEL PARTICIPAÇÕES S.A. - CELPAR;ANA PAULA SOARES DE AZEVEDO;Diretor Presidente
02.201.787/0001-85;2022-01-01;1;115828;CEL PARTICIPAÇÕES S.A. - CELPAR;JULIO LUIZ BAPTISTA LOPES;Diretor de Relações com Investidores
02.217.319/0001-07;2022-01-01;2;124153;YBYRÁ CAPITAL S.A.;FRANK JENCIK;Diretor de Relações com Investidores
02.217.319/0001-07;2022-01-01;2;124153;YBYRÁ CAPITAL S.A.;ADALBERTO LEIDENFROST;Diretor Presidente
02.255.187/0001-08;2022-01-01;6;125729;UNIFIQUE TELECOMUNICAÇÕES S.A.;FABIANO BUSNARDO;Diretor Presidente
02.255.187/0001-08;2022-01-01;6;125729;UNIFIQUE TELECOMUNICAÇÕES S.A.;JOSÉ WILSON DE SOUZA JUNIOR;Diretor de Relações com Investidores
02.258.422/0001-97;2022-01-01;1;115539;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;MANACESAR LOPES DOS SANTOS;Diretor de Relações com Investidores
02.258.422/0001-97;2022-01-01;1;115539;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;RICARDO DE AQUINO FILHO;Diretor Presidente
02.281.836/0001-37;2022-01-01;7;126066;TRANSNORDESTINA LOGISTICA SA;TUFI DAHER FILHO;Diretor Presidente
02.281.836/0001-37;2022-01-01;7;126066;TRANSNORDESTINA LOGISTICA SA;HUMBERTO AUGUSTO MOTA DA SILVA;Diretor de Relações com Investidores
02.286.479/0001-08;2022-01-01;4;124699;LOCALIZA FLEET S.A.;Bruno Sebastian Lasansky;Diretor Presidente
02.286.479/0001-08;2022-01-01;4;124699;LOCALIZA FLEET S.A.;Rodrigo Tavares Gonçalves de Sousa;Diretor de Relações com Investidores
02.291.077/0001-93;2022-01-01;4;125148;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;NANCI TURIBIO GUIMARÃES;Diretor de Relações com Investidores
02.291.077/0001-93;2022-01-01;4;125148;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;FÁBIO PEREIRA MAIA;Diretor Presidente
02.302.100/0001-06;2022-01-01;12;126004;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Claudinei Almir Paris;Diretor de Relações com Investidores
02.302.100/0001-06;2022-01-01;12;126004;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Dyogenes Rosi;Diretor Presidente
02.302.101/0001-42;2022-01-01;8;125410;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;Pablo Andrés Fernández Uhart;Diretor de Relações com Investidores
02.302.101/0001-42;2022-01-01;8;125410;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;Marcio Rea;Diretor Presidente
02.328.280/0001-97;2022-01-01;6;125930;ELEKTRO REDES S.A.;Antonio Sergio Casanova;Diretor Presidente
02.328.280/0001-97;2022-01-01;6;125930;ELEKTRO REDES S.A.;Renato de Almeida Rocha;Diretor de Relações com Investidores
02.338.534/0001-58;2022-01-01;4;126151;LONGDIS S.A.;Alexandre Palhares;Diretor de Relações com Investidores
02.338.534/0001-58;2022-01-01;4;126151;LONGDIS S.A.;Marco Billi;Diretor Presidente
02.351.144/0001-18;2022-01-01;8;125199;TEGMA GESTAO LOGISTICA S.A.;Ramón Pérez Arias Filho;Diretor de Relações com Investidores
02.351.144/0001-18;2022-01-01;8;125199;TEGMA GESTAO LOGISTICA S.A.;Nivaldo Tuba;Diretor Presidente
02.351.877/0001-52;2022-01-01;22;126272;LWSA S/A;Fernando Biancardi Cirne;Diretor Presidente
02.351.877/0001-52;2022-01-01;22;126272;LWSA S/A;Rafael Chamas Alves;Diretor de Relações com Investidores
02.357.251/0001-53;2022-01-01;4;127301;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Franco Maria Giuseppe Pallamolla;Diretor Presidente
02.357.251/0001-53;2022-01-01;4;127301;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;João Manuel Martins Ramos Canha;Diretor de Relações com Investidores
02.365.069/0001-44;2022-01-01;6;126122;PADTEC HOLDING S.A.;Carlos Raimar Schoeninger;Diretor Presidente/Relações com Investidores
02.382.073/0001-10;2022-01-01;2;118535;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;Pedro Augusto de Araújo Freitas;Diretor Presidente
02.382.073/0001-10;2022-01-01;2;118535;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;André Pires de Oliveira Dias;Diretor de Relações com Investidores
02.387.241/0001-60;2022-01-01;23;127111;RUMO S.A.;João Alberto Fernandez de Abreu;Diretor Presidente
02.387.241/0001-60;2022-01-01;23;127111;RUMO S.A.;Rafael Bergman;Diretor de Relações com Investidores
02.397.080/0001-96;2022-01-01;6;124018;ITAPEBI GERACAO DE ENERGIA S.A.;Marcelo José Cavalcanti Lopes;Diretor Presidente
02.397.080/0001-96;2022-01-01;6;124018;ITAPEBI GERACAO DE ENERGIA S.A.;Renato de Almeida Rocha;Diretor de Relações com Investidores
02.415.408/0001-50;2022-01-01;12;125304;CONC ROD.OESTE SP VIAOESTE S.A;Fausto Camilotti;Diretor Presidente/Relações com Investidores
02.421.421/0001-11;2022-01-01;9;125541;TIM S.A.;Alberto Mario Griselli;Diretor de Relações com Investidores
02.421.421/0001-11;2022-01-01;9;125541;TIM S.A.;Alberto Mario Griselli;Diretor Presidente
02.429.144/0001-93;2022-01-01;11;127220;CPFL ENERGIA S.A.;Gustavo Estrella;Diretor Presidente
02.429.144/0001-93;2022-01-01;11;127220;CPFL ENERGIA S.A.;YueHui Pan;Diretor de Relações com Investidores
02.451.848/0001-62;2022-01-01;14;125297;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Fausto Camilotti;Diretor Presidente/Relações com Investidores
02.474.103/0001-19;2022-01-01;7;126050;ENGIE BRASIL ENERGIA S.A.;Eduardo Antonio Gori Sattamini;Diretor Presidente/Relações com Investidores
02.502.844/0001-66;2022-01-01;6;126321;RUMO MALHA PAULISTA S.A.;Rafael Bergman;Diretor de Relações com Investidores
02.502.844/0001-66;2022-01-01;6;126321;RUMO MALHA PAULISTA S.A.;João Alberto Fernandez de Abreu;Diretor Presidente
02.509.186/0001-34;2022-01-01;3;124669;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;José Renato Ricciardi;Diretor Presidente
02.509.186/0001-34;2022-01-01;3;124669;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;Alexandre Tujisoki;Diretor de Relações com Investidores
02.509.491/0001-26;2022-01-01;4;125519;CONC ECOVIAS IMIGRANTES S.A.;Rui Juarez Klein;Diretor Presidente
02.509.491/0001-26;2022-01-01;4;125519;CONC ECOVIAS IMIGRANTES S.A.;Ronald Dennis Marangon;Diretor de Relações com Investidores
02.558.157/0001-62;2022-01-01;11;125390;TELEFÔNICA BRASIL S.A;David Melcon Sanchez-Friera;Diretor de Relações com Investidores
02.558.157/0001-62;2022-01-01;11;125390;TELEFÔNICA BRASIL S.A;Christian Mauad Gebara;Diretor Presidente
02.560.878/0001-07;2022-01-01;2;123300;HOSPITAL ANCHIETA S.A.;Antônio Alves Benjamim Neto;Diretor Presidente
02.560.878/0001-07;2022-01-01;2;123300;HOSPITAL ANCHIETA S.A.;Elias Leal Lima;Diretor de Relações com Investidores
02.591.787/0001-39;2022-01-01;2;122861;CAPITALPART PARTICIPACOES S.A.;José Carlos Rodrigues Rosa;Diretor de Relações com Investidores
02.600.854/0001-34;2022-01-01;3;125169;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;Mario Girasole;Diretor Presidente
02.600.854/0001-34;2022-01-01;3;125169;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;Mario Girasole;Diretor de Relações com Investidores
02.635.522/0001-95;2022-03-31;8;120081;JALLES MACHADO S.A.;Otávio Lage de Siqueira Filho;Diretor Presidente
02.635.522/0001-95;2022-03-31;8;120081;JALLES MACHADO S.A.;Rodrigo Penna de Siqueira;Diretor de Relações com Investidores
02.643.896/0001-52;2022-01-01;3;118472;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;Rodrigo Góes Pinheiro de Carvalho Klaus;Diretor Presidente
02.643.896/0001-52;2022-01-01;3;118472;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;Renato Muscari Lobo;Diretor de Relações com Investidores
02.664.042/0001-52;2022-01-01;1;115755;TERMINAL GARAGEM MENEZES CORTES S.A.;Marcelo Siqueira de Carvalho;Diretor de Relações com Investidores
02.682.287/0001-02;2022-01-01;5;126946;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Carlos Eduardo Pereira Guimarães;Diretor Presidente
02.682.287/0001-02;2022-01-01;5;126946;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Mauro Dutra Mediano Dias;Diretor de Relações com Investidores
02.724.983/0001-34;2022-01-01;3;125993;SANESALTO SANEAMENTO S.A.;ANDRÉ CÔRTES VELLOSO;Diretor de Relações com Investidores
02.724.983/0001-34;2022-01-01;3;125993;SANESALTO SANEAMENTO S.A.;MÁRIO VIEIRA MARCONDES NETO;Diretor Presidente
02.736.470/0001-43;2022-01-01;1;116669;CONFIANZA SECURITIZADORA SA;Leeandro Silva Mesquita;Diretor de Relações com Investidores
02.736.470/0001-43;2022-01-01;1;116669;CONFIANZA SECURITIZADORA SA;Cesar Reginato Ligeiro;Diretor Presidente
02.762.113/0001-50;2022-01-01;3;120456;BRAZILIAN FINANCE E REAL ESTATE S.A.;Mauro Dutra Mediano Dias;Diretor Presidente/Relações com Investidores
02.762.121/0001-04;2022-01-01;8;125996;SANTOS BRASIL PARTICIPACOES S.A.;Antonio Carlos Duarte Sepúlveda;Diretor Presidente
02.762.121/0001-04;2022-01-01;8;125996;SANTOS BRASIL PARTICIPACOES S.A.;Daniel Pedreira Dorea;Diretor de Relações com Investidores
02.762.124/0001-30;2022-01-01;1;115837;BETAPART PARTICIPACOES S.A.;MARIA AMALIA DELFIM DE MELO COUTRIM;Diretor de Relações com Investidores
02.762.124/0001-30;2022-01-01;1;115837;BETAPART PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor Presidente
02.773.542/0001-22;2022-01-01;2;116214;OPEA SECURITIZADORA S.A.;Flávia Palacios Mendonça Bailune;Diretor Presidente/Relações com Investidores
02.783.423/0001-50;2022-01-01;1;116763;ALTERE SECURITIZADORA S.A.;Armando Miguel Gallo Neto;Diretor de Relações com Investidores
02.796.775/0001-40;2022-01-01;1;115838;GAMA PARTICIPACOES S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
02.796.775/0001-40;2022-01-01;1;115838;GAMA PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
02.800.026/0001-40;2022-01-01;11;127177;COGNA EDUCAÇÃO S.A.;Roberto Valério Neto;Diretor Presidente
02.800.026/0001-40;2022-01-01;11;127177;COGNA EDUCAÇÃO S.A.;Frederico da Cunha Villa;Diretor de Relações com Investidores
02.846.056/0001-97;2022-01-01;17;125620;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Marco Antonio Souza Cauduro;Diretor Presidente
02.846.056/0001-97;2022-01-01;17;125620;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Waldo Edwin Perez Leskovar;Diretor de Relações com Investidores
02.860.694/0001-62;2022-01-01;1;116579;T4F ENTRETENIMENTO S.A.;Fernando Luiz Alterio;Diretor Presidente/Relações com Investidores
02.916.265/0001-60;2022-01-01;13;127102;JBS S.A.;Gilberto Tomazoni;Diretor Presidente
02.916.265/0001-60;2022-01-01;13;127102;JBS S.A.;Guilherme Perboyre Cavalcanti;Diretor de Relações com Investidores
02.919.555/0001-67;2022-01-01;6;126933;ARTERIS S.A.;Sergio Moniz Barretto Garcia;Diretor Presidente
02.919.555/0001-67;2022-01-01;6;126933;ARTERIS S.A.;Simone Aparecida Borsato;Diretor de Relações com Investidores
02.932.074/0001-91;2022-01-01;6;126247;HYPERA S.A.;Adalmario Ghovatto Satheler do Couto;Diretor de Relações com Investidores
02.932.074/0001-91;2022-01-01;6;126247;HYPERA S.A.;Breno Toledo Pires de Oliveira;Diretor Presidente
02.950.811/0001-89;2022-01-01;27;127214;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Augusto Alves do Reis Neto;Diretor Presidente/Relações com Investidores
02.992.449/0001-09;2022-01-01;2;125653;PROMPT PARTICIPACOES S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
02.992.449/0001-09;2022-01-01;2;125653;PROMPT PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
02.998.301/0001-81;2022-01-01;7;127247;RIO PARANAPANEMA ENERGIA S.A.;SILVIO ALEXANDRE SCUCUGLIA DA SILVA;Diretor Presidente/Relações com Investidores
02.998.611/0001-04;2022-01-01;8;126090;ISA ENERGIA BRASIL;Rui Chammas;Diretor Presidente
02.998.611/0001-04;2022-01-01;8;126090;ISA ENERGIA BRASIL;Carisa Santos Portela Cristal;Diretor de Relações com Investidores
03.014.553/0001-91;2022-01-01;5;127007;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Carlo Alberto Bottarelli;Diretor Presidente
03.014.553/0001-91;2022-01-01;5;127007;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Roberto Solheid da Costa de Carvalho;Diretor de Relações com Investidores
03.025.305/0001-46;2022-01-01;2;124493;RODOVIAS DAS COLINAS S.A.;Alexandre Tujisoki;Diretor de Relações com Investidores
03.025.305/0001-46;2022-01-01;2;124493;RODOVIAS DAS COLINAS S.A.;José Renato Ricciardi;Diretor Presidente
03.207.703/0001-83;2022-01-01;2;125274;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;Helvécio Tamm de Lima Filho;Diretor Presidente
03.207.703/0001-83;2022-01-01;2;125274;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;Simone Aparecida Borsato;Diretor de Relações com Investidores
03.220.438/0001-73;2022-01-01;7;127055;EQUATORIAL S.A.;Leonardo da Silva Lucas Tavares de Lima;Diretor de Relações com Investidores
03.220.438/0001-73;2022-01-01;7;127055;EQUATORIAL S.A.;Augusto Miranda da Paz Junior;Diretor Presidente
03.279.285/0001-30;2022-01-01;5;126074;ORIZON MEIO AMBIENTE S.A.;Sr. Milton Pilão Júnior;Diretor Presidente
