CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
08.764.621/0001-53;2022-01-01;2;114449;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Jornal o Dia;SP
08.769.451/0001-08;2022-01-01;1;114583;VIRGO COMPANHIA DE SECURITIZAÇÃO;Jornal o Dia SP;SP
08.769.451/0001-08;2022-01-01;1;114583;VIRGO COMPANHIA DE SECURITIZAÇÃO;www.valor.com.br/valor-ri;SP
08.773.135/0001-00;2022-01-01;1;116101;2W Energia S.A.;Valor Econômico;SP
08.773.135/0001-00;2022-01-01;1;116101;2W Energia S.A.;Valor Econômico;SP
08.773.135/0001-00;2022-01-01;1;116101;2W Energia S.A.;Valor Econômico;SP
08.773.191/0001-36;2022-01-01;1;115688;BRASILIANA PARTICIPAÇÕES S/A;Portal Valor RI (http://www.valor.com.br/valor-ri);BR
08.773.191/0001-36;2022-01-01;1;115688;BRASILIANA PARTICIPAÇÕES S/A;Valor Econômico;SP
08.795.211/0001-70;2022-01-01;1;114646;MAESTRO LOCADORA DE VEICULOS S.A.;Diário Oficial do Estado de São Paulo;SP
08.795.211/0001-70;2022-01-01;1;114646;MAESTRO LOCADORA DE VEICULOS S.A.;http://www.valor.com.br/valor-ri;SP
08.795.211/0001-70;2022-01-01;1;114646;MAESTRO LOCADORA DE VEICULOS S.A.;Valor Econômico;SP
08.797.760/0001-83;2022-01-01;2;120946;Cury Construtora e Incorporadora S.A.;Valor Econômico;SP
08.801.621/0001-86;2022-01-01;1;113747;SYN PROP & TECH S.A.;Jornal Valor Econômico;SP
08.807.432/0001-10;2022-01-01;1;116462;YDUQS PARTICIPACOES S.A.;http://www.rededivulgacao.com.br;SP
08.807.432/0001-10;2022-01-01;1;116462;YDUQS PARTICIPACOES S.A.;http://www.yduqs.com.br;RJ
08.807.432/0001-10;2022-01-01;1;116462;YDUQS PARTICIPACOES S.A.;https://valor.globo.com/valor-ri/;RJ
08.807.432/0001-10;2022-01-01;1;116462;YDUQS PARTICIPACOES S.A.;Jornal Valor Econômico;RJ
08.810.422/0001-34;2022-01-01;2;120915;Guararapes Painéis S.A.;Diário Oficial do Estado de Santa Catarina;SC
08.810.422/0001-34;2022-01-01;2;120915;Guararapes Painéis S.A.;Jornal Extra;SC
08.810.422/0001-34;2022-01-01;2;120915;Guararapes Painéis S.A.;ri.guararapes.com.br;SC
08.811.643/0001-27;2022-01-01;5;120207;TRISUL S.A.;O Estado de São Paulo;SP
08.822.767/0001-08;2022-01-01;1;115768;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;http://publicidadelegal.folha.uol.com.br/;SP
08.827.501/0001-58;2022-01-01;1;112084;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;Diário Comercial;SP
08.827.501/0001-58;2022-01-01;1;112084;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;Diário Oficial do Estado de Sao Paulo;SP
08.827.501/0001-58;2022-01-01;1;112084;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;https://www.portalneo1.net/fatosrelevantes/;SP
08.827.501/0001-58;2022-01-01;1;112084;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;https://www.rededivulgacao.com.br/noticias-corporativas/;SP
08.873.873/0001-10;2022-01-01;2;119264;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Diário de Notícias;SP
08.902.291/0001-15;2022-01-01;2;119190;CSN MINERAÇÃO S.A.;Folha de São Paulo - Edição Nacional;BR
08.902.291/0001-15;2022-01-01;2;119190;CSN MINERAÇÃO S.A.;Portal da Folha de São Paulo http://publicidadelegal.folha.uol.com.br;BR
08.902.291/0001-15;2022-01-01;2;119190;CSN MINERAÇÃO S.A.;www.ri.csnmineracao.com.br;BR
08.926.302/0001-05;2022-01-01;2;114830;DOMMO ENERGIA S.A.;Monitor Mercantil;RJ
08.926.302/0001-05;2022-01-01;2;114830;DOMMO ENERGIA S.A.;portal.mzgroup.com;SP
08.935.054/0001-50;2022-01-01;2;122688;MULTINER S/A;Diário Oficial do Estado de São Paulo;SP
08.935.054/0001-50;2022-01-01;2;122688;MULTINER S/A;Gazeta de São Paulo;SP
08.937.002/0001-13;2022-01-01;1;115724;VISION SECURITIZADORA S.A.;Data Mercantil;SP
09.041.168/0001-10;2022-01-01;2;121272;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Estado de Minas (Belo Horizonte);MG
09.041.168/0001-10;2022-01-01;2;121272;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Portal Online - Neo1;SP
09.042.817/0001-05;2022-01-01;2;122341;BEMOBI MOBILE TECH S.A.;Monitor Mercantil;RJ
09.053.134/0001-45;2022-01-01;2;122238;Elfa Medicamentos S.A.;Jornal de Brasília;DF
09.054.385/0001-44;2022-01-01;2;116742;INBRANDS S.A.;Diário de Notícias de São Paulo;SP
09.054.385/0001-44;2022-01-01;2;116742;INBRANDS S.A.;www.cvm.com.br;RJ
09.054.385/0001-44;2022-01-01;2;116742;INBRANDS S.A.;www.diariodenoticias.com.br/publicidade-legal;SP
09.054.385/0001-44;2022-01-01;2;116742;INBRANDS S.A.;www.inbrands.com.br;SP
09.074.183/0001-64;2022-01-01;2;115516;TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A;Data Mercantil;SP
09.083.175/0001-84;2022-01-01;1;111418;MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.;Diario Oficial do Estado;RJ
09.083.175/0001-84;2022-01-01;1;111418;MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.;O Dia;RJ
09.095.183/0001-40;2022-01-01;3;120463;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;A União;PB
09.095.183/0001-40;2022-01-01;3;120463;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;https://ri.energisa.com.br/;MG
09.095.183/0001-40;2022-01-01;3;120463;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;https://www.rad.cvm.gov.br/ENET/frmConsultaExternaCVM.aspx;RJ
09.112.685/0001-32;2022-01-01;1;114251;OSX BRASIL S.A.;Monitor Mercantil;RJ
09.114.805/0001-30;2022-01-01;1;111128;Oceanpact Serviços Maritimos S.A.;https://www.portalneo1.net/;SP
09.114.805/0001-30;2022-01-01;1;111128;Oceanpact Serviços Maritimos S.A.;Monitor Mercantil;RJ
09.116.278/0001-01;2022-01-01;1;115645;CONPEL CIA NORDESTINA PAPEL - Em Recuperação Judicial;Jornal A União (digital) site     www.auniao.pb.gov.br;PB
09.116.278/0001-01;2022-01-01;1;115645;CONPEL CIA NORDESTINA PAPEL - Em Recuperação Judicial;Jornal A União (impresso);PB
09.116.278/0001-01;2022-01-01;1;115645;CONPEL CIA NORDESTINA PAPEL - Em Recuperação Judicial;Site da companhia - www.conpel.com.br;PB
