CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
07.857.850/0001-50;2021-01-01;2;114474;GP INVESTMENTS, LTD.;Luxemburgo;2006-05-30
07.950.674/0001-04;2021-01-01;3;108217;CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO;Brasil;2006-07-19
08.065.557/0001-12;2021-01-01;4;109249;TECNISA S.A.;Suiça;2007-01-31
08.070.508/0001-78;2021-01-01;4;111882;RAIZEN ENERGIA S.A.;Brasil;2013-10-21
08.078.847/0001-09;2021-01-01;2;102725;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Brasil;2006-12-18
08.534.605/0001-74;2021-01-01;2;113055;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;2008-08-20
08.801.621/0001-86;2021-01-01;4;111578;SYN PROP & TECH S.A.;Estados Unidos;2007-08-10
08.807.432/0001-10;2021-01-01;2;113872;YDUQS PARTICIPACOES S.A.;Estados Unidos;2014-11-17
08.873.873/0001-10;2021-01-01;2;112473;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Brasil;2009-12-22
08.926.302/0001-05;2021-01-01;2;103788;DOMMO ENERGIA S.A.;Brasil;2014-09-17
09.305.994/0001-29;2021-01-01;1;105945;AZUL S.A.;Estados Unidos;2016-04-07
09.346.601/0001-25;2021-01-01;3;112277;B3 S.A. - BRASIL, BOLSA, BALCÃO;Luxemburgo;2021-09-20
10.440.482/0001-54;2021-01-01;2;107523;GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;Estados Unidos;2021-05-13
10.488.244/0001-19;2021-01-01;1;104988;INFRASEC SECURITIZADORA S.A.;Brasil;2009-09-22
11.669.021/0001-10;2021-01-01;2;103692;ENAUTA PARTICIPAÇÕES S.A.;Brasil;2011-02-02
12.919.786/0001-24;2021-01-01;3;108531;TCP TERMINAL DE CONTEINERES DE PARANAGUA SA;Brasil;2016-10-27
13.584.310/0001-42;2021-01-01;1;108770;SUGOI S.A.;Brasil;2016-07-19
14.191.427/0001-29;2021-01-01;1;108787;GranBio Investimentos S.A.;Brasil;2020-11-13
15.073.274/0001-88;2021-01-01;1;106214;PPLA PARTICIPATIONS LTD.;Holanda;2012-04-26
15.144.017/0001-90;2021-01-01;4;111264;CIA SEGUROS ALIANCA DA BAHIA;Brasil;1977-07-20
16.404.287/0001-55;2021-01-01;4;111686;SUZANO S.A.;Estados Unidos;1993-10-01
17.155.730/0001-64;2021-01-01;1;103779;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Espanha;2002-07-11
17.155.730/0001-64;2021-01-01;1;103779;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Estados Unidos;2001-09-18
17.344.597/0001-94;2021-01-01;2;112758;BB SEGURIDADE PARTICIPAÇÕES S.A.;Estados Unidos;2014-03-28
22.261.473/0001-85;2021-01-01;3;109465;COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG;;2020-10-06
24.241.659/0001-06;2021-01-01;2;105831;VENTURE CAPITAL PARTICIPAÇÕES E INVESTIMENTOS S/A;Brasil;2017-12-12
24.410.913/0001-44;2021-01-01;2;110650;NU HOLDINGS LTD.;Estados Unidos;2021-11-23
26.609.050/0001-64;2021-01-01;1;105125;Travessia Securitizadora S.A.;Brasil;2017-02-09
27.093.558/0001-15;2021-01-01;5;112815;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.;Brasil;2010-04-14
30.306.294/0001-45;2021-01-01;1;106215;BCO BTG PACTUAL S.A.;Brasil;2011-11-10
30.545.324/0001-76;2021-01-01;1;105178;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARG;Brasil;2020-07-20
32.785.497/0001-97;2021-01-01;1;105455;Natura &Co Holding S.A.;Estados Unidos;2020-01-01
33.000.167/0001-01;2021-01-01;1;103086;PETROLEO BRASILEIRO S.A. PETROBRAS;Espanha;2002-07-09
33.000.167/0001-01;2021-01-01;1;103086;PETROLEO BRASILEIRO S.A. PETROBRAS;EUA;2000-08-10
33.041.260/0652-90;2021-01-01;4;111029;VIA S.A.;Brasil;1981-11-24
33.042.730/0001-04;2021-01-01;1;106171;CIA SIDERURGICA NACIONAL;Estados Unidos;1997-11-14
33.113.309/0001-47;2021-01-01;5;114310;VALID SOLUÇÕES S.A.;Brasil;2006-04-12
33.200.049/0001-47;2021-01-01;1;104552;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;1980-08-08
33.256.439/0001-39;2021-01-01;2;110767;ULTRAPAR PARTICIPACOES S.A.;Estados Unidos;1999-10-06
33.592.510/0001-54;2021-01-01;2;109396;VALE S.A.;;2010-03-24
33.592.510/0001-54;2021-01-01;2;109396;VALE S.A.;;2000-02-08
33.592.510/0001-54;2021-01-01;2;109396;VALE S.A.;Suiça;2000-06-20
33.611.500/0001-19;2021-01-01;4;112226;GERDAU S.A.;Espanha;2002-12-02
33.611.500/0001-19;2021-01-01;4;112226;GERDAU S.A.;Estados Unidos;1999-03-10
36.729.398/0001-49;2021-01-01;2;106595;CIA. SEC. DE CRÉDITOS FINANCEIROS VERT-PROVI II;Brasil;2020-01-30
41.508.382/0001-46;2021-01-01;2;110141;RODOVIAS DO BRASIL HOLDING S.A.;;2021-05-18
42.150.391/0001-70;2021-01-01;2;106380;BRASKEM S.A.;Espanha;2003-10-08
42.150.391/0001-70;2021-01-01;2;106380;BRASKEM S.A.;Estados Unidos;1998-12-21
43.185.362/0001-07;2021-01-01;2;105940;IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL;Brasil;1973-12-19
43.470.988/0001-65;2021-01-01;3;112932;EVEN CONSTRUTORA E INCORPORADORA S.A.;Brasil;2007-03-02
43.776.517/0001-80;2021-01-01;4;106301;CIA SANEAMENTO BASICO EST SAO PAULO;Estados Unidos;2002-05-10
50.564.053/0001-03;2021-01-01;2;107935;BOMBRIL S.A.;Brasil;1994-06-01
50.746.577/0001-15;2021-01-01;3;111049;COSAN S.A.;Estados Unidos;2021-03-11
60.746.948/0001-12;2021-01-01;1;100068;BCO BRADESCO S.A.;Espanha;2001-02-16
60.746.948/0001-12;2021-01-01;1;100068;BCO BRADESCO S.A.;Estados Unidos;1997-06-11
60.872.504/0001-23;2021-01-01;1;100853;ITAU UNIBANCO HOLDING S.A.;Estados Unidos;2002-02-21
60.894.730/0001-05;2021-01-01;2;110606;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Espanha;2005-07-05
60.894.730/0001-05;2021-01-01;2;110606;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Estados Unidos;1994-09-01
61.156.113/0001-75;2021-01-01;1;105302;IOCHPE MAXION S.A.;Estados Unidos;1994-04-29
61.374.161/0001-30;2021-01-01;1;105384;BAUMER S.A.;Brasil;1970-05-20
61.409.892/0001-73;2021-01-01;2;106490;COMPANHIA BRASILEIRA DE ALUMÍNIO;Brasil;2021-07-13
61.585.865/0001-51;2021-01-01;1;99583;RAIA DROGASIL S.A.;Estados Unidos;2016-03-21
69.720.910/0001-45;2021-01-01;1;99817;CCB BRASIL ARRENDAMENTO MERCANTIL S.A.;Brasil;1995-11-16
73.178.600/0001-18;2021-01-01;2;102651;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Estados Unidos;2005-09-21
76.483.817/0001-20;2021-01-01;6;112736;CIA PARANAENSE DE ENERGIA - COPEL;Espanha;2002-06-19
76.483.817/0001-20;2021-01-01;6;112736;CIA PARANAENSE DE ENERGIA - COPEL;Estados Unidos;1997-07-31
76.484.013/0001-45;2021-01-01;2;112197;CIA SANEAMENTO DO PARANA - SANEPAR;Brasil;2000-03-10
76.535.764/0001-43;2021-01-01;4;110717;OI S.A. - EM RECUPERAÇÃO JUDICIAL;Estados Unidos;2001-11-16
89.463.822/0001-12;2021-01-01;4;110674;LUPATECH S.A. - EM RECUPERAÇÃO JUDICIAL;Estados Unidos;2009-11-16
89.637.490/0001-45;2021-01-01;1;99426;KLABIN S.A.;Estados Unidos;1994-12-01
90.400.888/0001-42;2021-01-01;1;105182;BCO SANTANDER (BRASIL) S.A.;Estados Unidos;2009-10-07
