CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339291;Preferencial Classe A;4599
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339292;Preferencial Classe A;1539
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339293;Preferencial Classe A;1757
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339294;Preferencial Classe A;375
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339295;Preferencial Classe A;516
59.981.829/0001-65;2021-01-01;4;108549;RODOBENS SA;322485;Preferencial Classe A;123434508
60.651.809/0001-05;2021-01-01;4;114327;SUZANO HOLDING S.A.;338883;Preferencial Classe A;50
61.022.042/0001-18;2021-01-01;3;114775;CONSTRUTORA ADOLPHO LINDENBERG S.A.;340576;Preferencial Classe A;202079
61.088.894/0001-08;2021-01-01;3;114008;CAMBUCI S.A.;337925;Preferencial Classe A;925582
61.088.894/0001-08;2021-01-01;3;114008;CAMBUCI S.A.;337926;Preferencial Classe A;222353
62.002.886/0001-60;2021-01-01;15;114732;SAO PAULO TURISMO S.A.;340425;Preferencial Classe A;6503
62.002.886/0001-60;2021-01-01;15;114732;SAO PAULO TURISMO S.A.;340425;Preferencial Classe B;11623
62.002.886/0001-60;2021-01-01;15;114732;SAO PAULO TURISMO S.A.;340426;Preferencial Classe A;169
62.002.886/0001-60;2021-01-01;15;114732;SAO PAULO TURISMO S.A.;340426;Preferencial Classe B;3627
76.627.504/0001-06;2021-01-01;9;114434;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;339450;Preferencial Classe A;4641020
84.693.183/0001-68;2021-01-01;5;113893;SCHULZ S.A.;337653;Preferencial Classe U;14620144
84.693.183/0001-68;2021-01-01;5;113893;SCHULZ S.A.;337654;Preferencial Classe U;51170504
