CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Data_Aprovacao;Tipo_Evento;Quantidade_Acoes_Ordinarias_Antes_Aprovacao;Quantidade_Acoes_Preferenciais_Antes_Aprovacao;Quantidade_Total_Acoes_Antes_Aprovacao;Quantidade_Acoes_Ordinarias_Depois_Aprovacao;Quantidade_Acoes_Preferenciais_Depois_Aprovacao;Quantidade_Total_Acoes_Depois_Aprovacao
08.065.557/0001-12;2021-01-01;17;115561;TECNISA S.A.;28196;2020-05-05;Grupamento;736192307;0;736192307;73619230;0;73619230
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27660;2018-12-31;Bonificação;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27661;2018-12-31;Desdobramento;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27662;2018-12-31;Grupamento;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27663;2019-12-31;Bonificação;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27664;2019-12-31;Desdobramento;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27665;2019-12-31;Grupamento;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27666;2020-12-31;Bonificação;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27667;2020-12-31;Desdobramento;0;0;0;0;0;0
08.159.965/0001-33;2021-01-01;10;112590;IGUA SANEAMENTO S.A.;27668;2020-12-31;Grupamento;0;0;0;0;0;0
08.170.849/0001-15;2021-01-01;17;115570;DESKTOP S.A.;28199;2021-05-13;Desdobramento;28249338;0;28249338;56498676;0;56498676
08.170.849/0001-15;2021-01-01;17;115570;DESKTOP S.A.;28200;2021-05-13;Desdobramento;28249338;0;28249338;56498676;0;56498676
08.312.229/0001-73;2021-01-01;6;115668;EZ TEC EMPREEND. E PARTICIPACOES S.A.;28230;2019-04-26;Bonificação;165001783;0;165001783;200000000;0;200000000
08.402.943/0001-52;2021-01-01;7;115622;GUARARAPES CONFECCOES S.A.;28216;2019-04-30;Desdobramento;62400000;0;62400000;499200000;0;499200000
08.534.605/0001-74;2021-01-01;6;115485;RENOVA ENERGIA S.A.;28160;2018-11-22;Grupamento;329805243;87392001;417197244;32980224;8739500;41719724
08.613.550/0001-98;2021-01-01;10;113739;NEXPE PARTICIPAÇÕES S.A;27834;2018-08-16;Grupamento;362783035;0;362783035;36278303;0;36278303
