CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Lucro_Liquido_Ajustado;Taxa_Retorno_Patrimonio_Liquido_Emissor;Lucro_Liquido_Retido;Dividendo_Distribuido_Lucro_Liquido_Ajustado;Dividendo_Distribuido_Total;Data_Aprovacao_Retencao
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;17533000.00;2.92915600;8856000.00;23.75000000;4164087.50;2021-05-10
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;2018-01-01;2018-12-31;-162230.00;0.00000000;0.00;0.00000000;0.00;
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;2019-01-01;2019-12-31;-163835.00;0.00000000;0.00;0.00000000;0.00;
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;2020-01-01;2020-12-31;-177330.45;0.00000000;0.00;0.00000000;0.00;
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;2018-01-01;2018-12-31;-224851254.91;0.00000000;0.00;0.00000000;0.00;
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;2019-01-01;2019-12-31;-237525902.12;0.00000000;0.00;0.00000000;0.00;
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;2020-01-01;2020-12-31;-106226000.00;0.00000000;0.00;0.00000000;0.00;
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;2018-01-01;2018-12-31;7078653.00;0.00000000;7078653.00;0.00000000;0.00;2019-04-18
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;2019-01-01;2019-12-31;2113131.46;0.00000000;2113131.46;0.00000000;0.00;2020-04-30
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;2020-01-01;2020-12-31;12331337.11;0.00000000;5445072.05;50.84362015;6269698.20;2021-04-23
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;2018-01-01;2018-12-31;64355484.44;6.78790065;31074679.48;56.98080900;36667935.72;2019-04-26
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;2019-01-01;2019-12-31;74936000.00;3.46985363;27628000.00;68.39436319;51252000.00;2020-03-20
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;2020-01-01;2020-12-31;-7197000.00;0.00000000;0.00;0.00000000;0.00;2021-04-28
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;2021-01-01;2021-12-31;0.00;0.00000000;0.00;0.00000000;0.00;
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;2018-01-01;2018-12-31;1270423.00;2.22401800;320423.00;74.78000000;950000.00;2019-12-10
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;2019-01-01;2019-12-31;1614282.82;2.83452384;0.00;0.00000000;0.00;2020-04-30
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;2020-01-01;2020-12-31;-4779969.80;-9.24979696;0.00;0.00000000;0.00;
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2018-01-01;2018-12-31;74432000.00;6.07209100;3732000.00;100.00000000;23310923.39;2019-04-10
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2019-01-01;2019-12-31;45236000.00;3.54001137;2261785.64;0.00000000;2148696.35;2020-04-15
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2020-01-01;2020-12-31;59504000.00;0.00000000;0.00;0.00000000;0.00;2021-04-20
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;2018-01-01;2018-12-31;36021950.21;4.23000000;0.00;100.00000000;36021950.21;
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;2019-01-01;2019-12-31;68471765.76;7.84000000;0.00;100.00000000;68471765.76;
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;2020-01-01;2020-12-31;32719590.07;0.00000000;10707496.27;67.27000000;22012093.80;
00.743.065/0001-27;2021-01-01;3;114240;LITEL PARTICIPACOES S.A.;2018-01-01;2018-12-31;0.00;0.00000000;314444250.75;51230.97003000;966330000.00;2019-04-30
00.743.065/0001-27;2021-01-01;3;114240;LITEL PARTICIPACOES S.A.;2019-01-01;2019-12-31;-157680522.07;-7.08000000;0.00;0.00000000;6500000.00;
00.743.065/0001-27;2021-01-01;3;114240;LITEL PARTICIPACOES S.A.;2020-01-01;2020-12-31;369395792.63;13.74000000;277046844.47;25.00000000;160568948.16;
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2018-01-01;2018-12-31;-397914096.21;0.00000000;0.00;0.00000000;0.00;
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2019-01-01;2019-12-31;-318238045.31;0.00000000;0.00;0.00000000;0.00;
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;-210757942.58;0.00000000;0.00;0.00000000;0.00;
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;2018-01-01;2018-12-31;1091012549.02;18.04000000;703812314.34;35.49000000;387200234.68;2019-04-30
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;2019-01-01;2019-12-31;460547470.88;5.06110400;266026434.13;44.43363500;194521036.75;2020-04-28
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;2020-01-01;2020-12-31;1400178670.21;14.89000000;899359583.05;35.77000000;500819087.16;2021-04-28
00.897.864/0001-58;2021-01-01;2;104591;SANTA CATARINA PART INVEST SA;2020-01-01;2020-12-31;-790085056.98;0.00000000;0.00;0.00000000;0.00;
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;2018-01-01;2018-12-31;39489977.58;24.99559300;4225427.60;89.30000000;35264549.98;2019-04-26
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;2019-01-01;2019-12-31;48408476.64;31.54890500;5179706.97;89.30000000;43228769.67;2020-04-17
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;2020-01-01;2020-12-31;24738579.76;16.18551800;2647028.04;89.30000000;22091551.72;2021-03-12
00.979.969/0001-56;2021-01-01;1;103284;CAIXA ADM DIV PUB ESTADUAL SA;2018-01-01;2018-12-31;-184310.52;0.00000000;0.00;0.00000000;0.00;
00.979.969/0001-56;2021-01-01;1;103284;CAIXA ADM DIV PUB ESTADUAL SA;2019-01-01;2019-12-31;-34712.16;0.00000000;0.00;0.00000000;0.00;
00.979.969/0001-56;2021-01-01;1;103284;CAIXA ADM DIV PUB ESTADUAL SA;2020-01-01;2020-12-31;-158080.23;0.00000000;0.00;0.00000000;0.00;
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2018-01-01;2018-12-31;2983097499.00;31.85616800;0.00;117.30000000;3500000000.00;2019-04-18
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2019-01-01;2019-12-31;1501143847.00;15.85600000;791700250.00;47.26020100;709444000.00;2020-07-24
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;479001859.00;5.04698400;312580720.00;34.74331800;166421138.56;2021-04-23
01.083.200/0001-18;2021-01-01;10;115675;NEOENERGIA S.A.;2018-01-01;2018-12-31;1557407897.00;15.11798000;1051014734.00;37.77828500;588362000.00;2019-04-17
01.083.200/0001-18;2021-01-01;10;115675;NEOENERGIA S.A.;2019-01-01;2019-12-31;2119496405.00;19.99933835;1675353848.00;26.21825631;555695000.00;2020-04-20
01.083.200/0001-18;2021-01-01;10;115675;NEOENERGIA S.A.;2020-01-01;2020-12-31;2655966598.02;12.54752730;2050005164.21;28.00000000;745749149.51;2021-04-12
01.104.937/0001-70;2021-01-01;5;114681;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2018-01-01;2018-12-31;13176000.00;7.02974946;659000.00;100.00000000;95.00;2019-04-29
01.104.937/0001-70;2021-01-01;5;114681;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2019-01-01;2019-12-31;-2385000.00;-1.35000000;0.00;0.00000000;0.00;2020-04-29
01.104.937/0001-70;2021-01-01;5;114681;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;2020-01-01;2020-12-31;42997000.00;21.10986734;22998000.00;30.29978835;19999000.00;2021-03-15
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;2018-01-01;2018-12-31;7669000.00;5.85000000;5996000.00;0.00000000;0.00;2019-04-26
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;2019-01-01;2019-12-31;13746000.00;11.38000000;11843000.00;0.00000000;3265.00;2020-05-22
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;2020-01-01;2020-12-31;8899000.00;0.69000000;7187000.00;0.00000000;2114.00;2021-04-12
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;2021-01-01;2021-12-31;-814000.00;0.00000000;0.00;0.00000000;0.00;
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;2018-01-01;2018-12-31;495535091.33;13.56888650;371651318.50;25.00000000;123883772.83;2019-04-25
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;2019-01-01;2019-12-31;478187154.48;11.92399655;358640365.86;25.00000000;119546788.62;2020-06-17
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;2020-01-01;2020-12-31;408767605.62;9.97680752;306575704.22;25.00000000;102191901.41;2021-04-29
01.468.594/0001-22;2021-01-01;7;111913;LG INFORMÁTICA S.A.;2018-01-01;2018-12-31;12093000.00;15.00000000;9376000.00;27.70000000;3354000.00;2019-07-30
01.468.594/0001-22;2021-01-01;7;111913;LG INFORMÁTICA S.A.;2019-01-01;2019-12-31;12866000.00;14.40000000;9547000.00;31.10000000;3996000.00;2020-07-31
01.468.594/0001-22;2021-01-01;7;111913;LG INFORMÁTICA S.A.;2020-01-01;2020-12-31;13328000.00;15.00000000;9418000.00;34.60000000;4611000.00;2021-02-05
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;2018-01-01;2018-12-31;-419526000.00;-85.42000000;0.00;0.00000000;0.00;
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;2019-01-01;2019-12-31;-13742000.00;-1.58000000;0.00;0.00000000;0.00;
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;2020-01-01;2020-12-31;-76521000.00;-4.91000000;162191000.00;0.00000000;0.00;2021-04-30
01.548.981/0001-79;2021-01-01;6;114192;INVESTIMENTOS BEMGE S.A.;2018-01-01;2018-12-31;10015000.00;4.80000000;10442000.00;1.00000000;100000.00;2019-04-30
01.548.981/0001-79;2021-01-01;6;114192;INVESTIMENTOS BEMGE S.A.;2019-01-01;2019-12-31;7377000.00;3.40000000;7691000.00;1.00000000;74000.00;2020-04-30
01.548.981/0001-79;2021-01-01;6;114192;INVESTIMENTOS BEMGE S.A.;2020-01-01;2020-12-31;3231000.00;1.50000000;3369000.00;1.00000000;32000.00;2021-04-30
01.599.101/0001-93;2021-01-01;27;115071;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2018-01-01;2018-12-31;-636000.00;0.70000000;0.00;0.00000000;0.00;2020-07-31
01.599.101/0001-93;2021-01-01;27;115071;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2019-01-01;2019-12-31;-7146000.00;8.30000000;0.00;0.00000000;0.00;2020-07-31
01.599.101/0001-93;2021-01-01;27;115071;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2020-01-01;2020-12-31;6677000.00;1.60000000;0.00;0.00000000;0.00;2021-04-26
01.616.929/0001-02;2021-01-01;9;113851;SANEAMENTO DE GOIAS SA;2018-01-01;2018-12-31;105124070.12;0.03973500;78843052.59;25.00000000;26281017.53;2019-12-13
01.616.929/0001-02;2021-01-01;9;113851;SANEAMENTO DE GOIAS SA;2019-01-01;2019-12-31;299968055.94;0.10868200;224976041.95;25.00000000;74992013.99;2020-04-29
01.616.929/0001-02;2021-01-01;9;113851;SANEAMENTO DE GOIAS SA;2020-01-01;2020-12-31;319534426.15;0.10382500;239650819.62;25.00000000;79883606.53;2021-04-29
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;2018-01-01;2018-12-31;-4466246000.00;-59.29870200;0.00;0.00000000;0.00;2019-02-25
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;2019-01-01;2019-12-31;297452000.00;3.65045700;0.00;0.00000000;0.00;2020-03-02
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;2020-01-01;2020-12-31;1390069000.00;15.77198500;0.00;0.00000000;0.00;2021-02-25
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;2021-01-01;2021-12-31;494883000.00;-6.44693800;0.00;0.00000000;0.00;2021-11-10
01.851.771/0001-55;2021-01-01;2;114436;524 PARTICIPACOES S.A.;2018-01-01;2018-12-31;-108058.04;-117.07000000;-108058.04;0.00000000;0.00;
01.851.771/0001-55;2021-01-01;2;114436;524 PARTICIPACOES S.A.;2019-01-01;2019-12-31;-137609.77;-251.60000000;-137609.77;0.00000000;0.00;
01.851.771/0001-55;2021-01-01;2;114436;524 PARTICIPACOES S.A.;2020-01-01;2020-12-31;-126094.16;-84.29000000;-126094.16;0.00000000;0.00;
01.896.779/0001-38;2021-01-01;6;113992;CSU DIGITAL S.A.;2018-01-01;2018-12-31;31159000.00;13.62000000;21042000.00;32.47000000;10117000.00;2019-04-23
01.896.779/0001-38;2021-01-01;6;113992;CSU DIGITAL S.A.;2019-01-01;2019-12-31;25490000.00;10.43000000;14941000.00;41.39000000;10550000.00;2020-04-29
01.896.779/0001-38;2021-01-01;6;113992;CSU DIGITAL S.A.;2020-01-01;2020-12-31;44442000.00;16.01000000;31942000.00;41.63000000;18500000.00;2021-04-13
01.917.818/0001-36;2021-01-01;11;114216;LIGHT ENERGIA S.A.;2018-01-01;2018-12-31;0.00;0.00000000;0.00;0.00000000;0.00;2019-04-29
01.917.818/0001-36;2021-01-01;11;114216;LIGHT ENERGIA S.A.;2019-01-01;2019-12-31;167586358.87;64.90000000;0.00;109.60000000;100000000.00;2020-04-28
01.917.818/0001-36;2021-01-01;11;114216;LIGHT ENERGIA S.A.;2020-01-01;2020-12-31;421817089.39;57.30000000;0.00;103.70000000;437450301.40;2021-04-29
01.938.783/0001-11;2021-01-01;5;114730;CIA PARTICIPACOES ALIANCA DA BAHIA;2018-01-01;2018-12-31;36880666.63;7.04959600;0.00;100.00000000;36880666.63;
01.938.783/0001-11;2021-01-01;5;114730;CIA PARTICIPACOES ALIANCA DA BAHIA;2019-01-01;2019-12-31;48928848.77;9.22992800;0.00;100.00000000;48928848.77;
01.938.783/0001-11;2021-01-01;5;114730;CIA PARTICIPACOES ALIANCA DA BAHIA;2020-01-01;2020-12-31;457650593.67;70.89408000;57650599.56;87.40292300;399999994.11;2021-04-30
01.957.772/0001-89;2021-01-01;2;105881;SUL 116 PARTICIPACOES S.A.;2018-01-01;2018-12-31;899000.00;0.00000000;0.00;0.00000000;0.00;
01.957.772/0001-89;2021-01-01;2;105881;SUL 116 PARTICIPACOES S.A.;2019-01-01;2019-12-31;2626000.00;0.00000000;0.00;0.00000000;0.00;
01.957.772/0001-89;2021-01-01;2;105881;SUL 116 PARTICIPACOES S.A.;2020-01-01;2020-12-31;0.00;0.00000000;0.00;0.00000000;0.00;
01.971.614/0001-83;2021-01-01;7;114105;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;2018-01-01;2018-12-31;28520000.00;14.38100000;5506125.40;14.00000000;3999999.20;2019-05-15
01.971.614/0001-83;2021-01-01;7;114105;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;2019-01-01;2019-12-31;-17687758.10;0.00000000;0.00;0.00000000;0.00;
01.971.614/0001-83;2021-01-01;7;114105;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;2020-01-01;2020-12-31;-55356000.00;-35.04300000;0.00;0.00000000;0.00;
02.062.747/0001-08;2021-01-01;2;114444;SUDESTE S.A.;2018-01-01;2018-12-31;-127716.00;-9.52000000;0.00;0.00000000;0.00;
02.062.747/0001-08;2021-01-01;2;114444;SUDESTE S.A.;2019-01-01;2019-12-31;-140105.00;-0.69000000;0.00;0.00000000;0.00;
02.062.747/0001-08;2021-01-01;2;114444;SUDESTE S.A.;2020-01-01;2020-12-31;-125117.00;-1.60000000;0.00;0.00000000;0.00;
02.105.040/0001-23;2021-12-31;1;100560;VIRGO II COMPANHIA DE SECURITIZACAO;2018-01-01;2018-12-31;2265372.10;2.71480800;0.00;95.00000000;2152103.50;
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;2018-01-01;2018-12-31;1249019253.19;8.57000000;655310161.40;52.47000000;655310161.40;2019-03-29
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;2019-01-01;2019-12-31;1312494829.48;8.34000000;689541435.38;52.54000000;689541435.38;2020-03-31
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;2020-01-01;2020-12-31;1603190454.41;9.41000000;844095500.09;52.65000000;844095500.09;2021-03-31
02.162.616/0001-94;2021-01-01;4;108892;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;2018-01-01;2018-12-31;13821599.94;16.83000000;8939939.94;0.35319066;4881660.00;
02.162.616/0001-94;2021-01-01;4;108892;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;2019-01-01;2019-12-31;15618203.18;16.93000000;8715826.50;0.39583100;6182163.93;
02.162.616/0001-94;2021-01-01;4;108892;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;2020-01-01;2020-12-31;19188328.77;18.27000000;0.00;0.25000000;4797082.19;
02.193.750/0001-52;2021-01-01;15;115647;DEXXOS PARTICIPAÇÕES S.A.;2018-01-01;2018-12-31;7297283.14;3.43162557;5563654.21;23.75718328;1733628.93;2019-04-30
02.193.750/0001-52;2021-01-01;15;115647;DEXXOS PARTICIPAÇÕES S.A.;2019-01-01;2019-12-31;27758350.40;12.29758304;25403910.95;0.00000000;2354439.45;2020-07-28
02.193.750/0001-52;2021-01-01;15;115647;DEXXOS PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;122521619.10;35.91134806;96206073.67;21.47828736;26315545.43;2021-04-28
02.217.319/0001-07;2021-01-01;2;111689;YBYRÁ CAPITAL S.A.;2018-01-01;2018-12-31;-133965.00;-7.58000000;-133965.00;0.00000000;0.00;
02.217.319/0001-07;2021-01-01;2;111689;YBYRÁ CAPITAL S.A.;2019-01-01;2019-12-31;-136363.00;-1.68000000;-163363.00;0.00000000;0.00;
02.217.319/0001-07;2021-01-01;2;111689;YBYRÁ CAPITAL S.A.;2020-01-01;2020-12-31;-126147.00;-0.94000000;-126147.00;0.00000000;0.00;
02.255.187/0001-08;2021-01-01;7;115680;UNIFIQUE TELECOMUNICAÇÕES S.A.;2018-01-01;2018-12-31;34768000.00;56.43000000;27479000.00;45.63000000;12540000.00;2021-05-11
02.255.187/0001-08;2021-01-01;7;115680;UNIFIQUE TELECOMUNICAÇÕES S.A.;2019-01-01;2019-12-31;34627000.00;50.94000000;23125000.00;38.88000000;13462000.00;2021-05-11
02.255.187/0001-08;2021-01-01;7;115680;UNIFIQUE TELECOMUNICAÇÕES S.A.;2020-01-01;2020-12-31;47196000.00;42.94000000;38164000.00;26.03000000;12285000.00;2021-05-11
02.258.422/0001-97;2021-01-01;6;114432;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2018-01-01;2018-12-31;-34019341.67;0.00000000;0.00;0.00000000;0.00;
02.258.422/0001-97;2021-01-01;6;114432;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2019-01-01;2019-12-31;-47217791.82;0.00000000;0.00;0.00000000;0.00;
02.258.422/0001-97;2021-01-01;6;114432;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2020-01-01;2020-12-31;-106058978.82;0.00000000;0.00;0.00000000;0.00;
02.302.100/0001-06;2021-01-01;6;111045;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;2018-01-01;2018-12-31;202817904.62;17.83000000;0.00;100.00000000;202817904.62;
02.302.100/0001-06;2021-01-01;6;111045;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;2019-01-01;2019-12-31;332244288.83;27.59000000;238652016.62;28.17000000;93592272.21;2020-04-30
02.302.100/0001-06;2021-01-01;6;111045;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;2020-01-01;2020-12-31;374274345.20;37.88000000;272429958.90;27.21000000;101844386.30;2021-04-30
02.302.101/0001-42;2021-01-01;7;114157;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;2018-01-01;2018-12-31;96441033.15;11.68399791;77406618.73;30.64762300;29556884.49;2019-04-22
02.302.101/0001-42;2021-01-01;7;114157;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;2019-01-01;2019-12-31;88004323.31;9.35505000;70635048.96;31.76550180;27955014.99;2020-04-23
02.302.101/0001-42;2021-01-01;7;114157;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;2020-01-01;2020-12-31;188560555.83;9.42000000;127420416.87;35.88000000;67648609.02;2021-04-23
02.318.346/0001-68;2021-01-01;3;110456;OPPORTUNITY ENERGIA E PARTICIPACOES S.A. - EM LIQUIDAÇÃO;2018-01-01;2018-12-31;-44123471.67;-143.37000000;0.00;0.00000000;0.00;
02.318.346/0001-68;2021-01-01;3;110456;OPPORTUNITY ENERGIA E PARTICIPACOES S.A. - EM LIQUIDAÇÃO;2019-01-01;2019-12-31;-14552659.96;-26.95000000;0.00;0.00000000;0.00;
02.318.346/0001-68;2021-01-01;3;110456;OPPORTUNITY ENERGIA E PARTICIPACOES S.A. - EM LIQUIDAÇÃO;2020-01-01;2020-12-31;-81555597.50;468.67000000;0.00;0.00000000;0.00;
02.328.280/0001-97;2021-01-01;9;114135;ELEKTRO REDES S.A.;2018-01-01;2018-12-31;412109256.73;30.00000000;276109256.73;33.00000000;136000000.00;2019-04-11
