CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Liderança;0;1;0
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Não-liderança;0;1;0
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Liderança;48;137;2
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Não-liderança;925;533;32
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Liderança;0;1;0
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Não-liderança;0;5;0
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Liderança;0;1;0
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Não-liderança;0;0;1
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;Liderança;1;16;50
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;Não-liderança;22;151;173
02.328.280/0001-97;2023-12-31;9;135991;ELEKTRO REDES S.A.;Liderança;15;224;25
02.328.280/0001-97;2023-12-31;9;135991;ELEKTRO REDES S.A.;Não-liderança;723;2322;306
02.338.534/0001-58;2023-12-31;2;135907;LONGDIS S.A.;Liderança;0;1;0
02.338.534/0001-58;2023-12-31;2;135907;LONGDIS S.A.;Não-liderança;0;1;0
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;Liderança;11;197;53
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;Não-liderança;476;857;120
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;Liderança;130;520;22
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;Não-liderança;1897;1297;32
02.357.251/0001-53;2023-12-31;6;136120;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Liderança;0;29;7
02.357.251/0001-53;2023-12-31;6;136120;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Não-liderança;105;233;37
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;Liderança;0;0;1
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;Não-liderança;0;0;1
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;Liderança;37;420;28
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;Não-liderança;1706;5439;684
02.397.080/0001-96;2023-12-31;3;135956;ITAPEBI GERACAO DE ENERGIA S.A.;Liderança;0;31;6
02.397.080/0001-96;2023-12-31;3;135956;ITAPEBI GERACAO DE ENERGIA S.A.;Não-liderança;24;41;4
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;Liderança;4;694;139
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;Não-liderança;1997;6358;591
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;Liderança;0;8;4
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;Não-liderança;2;2;2
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;Liderança;1;226;58
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;Não-liderança;197;680;53
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;Liderança;37;420;28
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;Não-liderança;1706;5439;684
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;Liderança;190;3459;473
